case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,residual_rmse_before_correction
case_89,below_p90,2500,0.5,0.5,8.03588161468506,9.501103210449216,14.831547985076902,1.0776500412025953
case_89,p90_to_p95,500,0.1,0.09999999999999999,8.03588161468506,9.501103210449216,14.831547985076902,1.0776500412025953
case_89,p95_to_p99,1000,0.2,0.2,8.03588161468506,9.501103210449216,14.831547985076902,1.0776500412025953
case_89,top_p99,1000,0.2,0.2,8.03588161468506,9.501103210449216,14.831547985076902,1.0776500412025953
case_91,below_p90,2500,0.5,0.5,9.551535987854004,10.791361618041991,16.847370262145986,1.138215550787058
case_91,p90_to_p95,500,0.1,0.09999999999999999,9.551535987854004,10.791361618041991,16.847370262145986,1.138215550787058
case_91,p95_to_p99,1000,0.2,0.2,9.551535987854004,10.791361618041991,16.847370262145986,1.138215550787058
case_91,top_p99,1000,0.2,0.2,9.551535987854004,10.791361618041991,16.847370262145986,1.138215550787058
case_92,below_p90,2500,0.5,0.5,7.7384740829467775,8.626925182342527,13.86244007110595,1.1819733334289406
case_92,p90_to_p95,500,0.1,0.09999999999999999,7.7384740829467775,8.626925182342527,13.86244007110595,1.1819733334289406
case_92,p95_to_p99,1000,0.2,0.2,7.7384740829467775,8.626925182342527,13.86244007110595,1.1819733334289406
case_92,top_p99,1000,0.2,0.2,7.7384740829467775,8.626925182342527,13.86244007110595,1.1819733334289406
case_94,below_p90,2500,0.5,0.5,6.6170741558074955,7.718307733535765,12.303719158172552,1.1369163728612115
case_94,p90_to_p95,500,0.1,0.09999999999999999,6.6170741558074955,7.718307733535765,12.303719158172552,1.1369163728612115
case_94,p95_to_p99,1000,0.2,0.2,6.6170741558074955,7.718307733535765,12.303719158172552,1.1369163728612115
case_94,top_p99,1000,0.2,0.2,6.6170741558074955,7.718307733535765,12.303719158172552,1.1369163728612115
case_95,below_p90,2500,0.5,0.5,8.410765743255617,10.778055810928343,16.617831211090085,0.8749670743192789
case_95,p90_to_p95,500,0.1,0.09999999999999999,8.410765743255617,10.778055810928343,16.617831211090085,0.8749670743192789
case_95,p95_to_p99,1000,0.2,0.2,8.410765743255617,10.778055810928343,16.617831211090085,0.8749670743192789
case_95,top_p99,1000,0.2,0.2,8.410765743255617,10.778055810928343,16.617831211090085,0.8749670743192789
case_96,below_p90,2500,0.5,0.5,6.657563495635986,7.780730009078979,12.240180082321166,1.0867832780338444
case_96,p90_to_p95,500,0.1,0.09999999999999999,6.657563495635986,7.780730009078979,12.240180082321166,1.0867832780338444
case_96,p95_to_p99,1000,0.2,0.2,6.657563495635986,7.780730009078979,12.240180082321166,1.0867832780338444
case_96,top_p99,1000,0.2,0.2,6.657563495635986,7.780730009078979,12.240180082321166,1.0867832780338444
case_97,below_p90,2500,0.5,0.5,8.249234867095948,9.87625789642334,15.68950984954829,1.1350961566945648
case_97,p90_to_p95,500,0.1,0.09999999999999999,8.249234867095948,9.87625789642334,15.68950984954829,1.1350961566945648
case_97,p95_to_p99,1000,0.2,0.2,8.249234867095948,9.87625789642334,15.68950984954829,1.1350961566945648
case_97,top_p99,1000,0.2,0.2,8.249234867095948,9.87625789642334,15.68950984954829,1.1350961566945648
case_99,below_p90,2500,0.5,0.5,5.001983404159547,5.963100194931029,9.452709732055656,1.1448212028755593
case_99,p90_to_p95,500,0.1,0.09999999999999999,5.001983404159547,5.963100194931029,9.452709732055656,1.1448212028755593
case_99,p95_to_p99,1000,0.2,0.2,5.001983404159547,5.963100194931029,9.452709732055656,1.1448212028755593
case_99,top_p99,1000,0.2,0.2,5.001983404159547,5.963100194931029,9.452709732055656,1.1448212028755593
case_100,below_p90,2500,0.5,0.5,8.291062831878662,10.016252183914181,16.072310028076142,1.148042273716328
case_100,p90_to_p95,500,0.1,0.09999999999999999,8.291062831878662,10.016252183914181,16.072310028076142,1.148042273716328
case_100,p95_to_p99,1000,0.2,0.2,8.291062831878662,10.016252183914181,16.072310028076142,1.148042273716328
case_100,top_p99,1000,0.2,0.2,8.291062831878662,10.016252183914181,16.072310028076142,1.148042273716328
case_104,below_p90,2500,0.5,0.5,8.131133270263673,9.49413046836853,15.03142244338985,1.152735690545354
case_104,p90_to_p95,500,0.1,0.09999999999999999,8.131133270263673,9.49413046836853,15.03142244338985,1.152735690545354
case_104,p95_to_p99,1000,0.2,0.2,8.131133270263673,9.49413046836853,15.03142244338985,1.152735690545354
case_104,top_p99,1000,0.2,0.2,8.131133270263673,9.49413046836853,15.03142244338985,1.152735690545354
case_105,below_p90,2500,0.5,0.5,6.042276000976564,6.899764347076416,10.9968593406677,1.2015485431957398
case_105,p90_to_p95,500,0.1,0.09999999999999999,6.042276000976564,6.899764347076416,10.9968593406677,1.2015485431957398
case_105,p95_to_p99,1000,0.2,0.2,6.042276000976564,6.899764347076416,10.9968593406677,1.2015485431957398
case_105,top_p99,1000,0.2,0.2,6.042276000976564,6.899764347076416,10.9968593406677,1.2015485431957398
case_106,below_p90,2500,0.5,0.5,4.336377429962159,5.13510546684265,7.404705095291117,0.9608266094830199
case_106,p90_to_p95,500,0.1,0.09999999999999999,4.336377429962159,5.13510546684265,7.404705095291117,0.9608266094830199
case_106,p95_to_p99,1000,0.2,0.2,4.336377429962159,5.13510546684265,7.404705095291117,0.9608266094830199
case_106,top_p99,1000,0.2,0.2,4.336377429962159,5.13510546684265,7.404705095291117,0.9608266094830199
case_107,below_p90,2500,0.5,0.5,8.390282630920412,9.823783111572263,15.309831600189176,1.151032686032329
case_107,p90_to_p95,500,0.1,0.09999999999999999,8.390282630920412,9.823783111572263,15.309831600189176,1.151032686032329
case_107,p95_to_p99,1000,0.2,0.2,8.390282630920412,9.823783111572263,15.309831600189176,1.151032686032329
case_107,top_p99,1000,0.2,0.2,8.390282630920412,9.823783111572263,15.309831600189176,1.151032686032329
case_109,below_p90,2500,0.5,0.5,7.783132171630859,9.180979347229002,14.838084297180142,1.173039607607338
case_109,p90_to_p95,500,0.1,0.09999999999999999,7.783132171630859,9.180979347229002,14.838084297180142,1.173039607607338
