case_id,weighted_numerator,weighted_denominator,unconstrained_case_gain,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max
case_78,133615.98198495343,92505.4403816997,1.4444121495300357,4.941975545883179,5.647890686988831,8.848848810195921,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_79,472901.8823657828,232197.14344490526,2.036639535481585,8.438597679138184,10.056427860260005,15.850202865600538,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_81,479599.7750326382,254749.85461060973,1.8826302207933194,8.975979804992678,10.314814281463619,16.286035861968987,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_82,455171.5947094982,252627.8784125848,1.8017472876296126,8.144675540924077,9.606270885467529,15.515425043106074,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_83,495650.55037464155,275687.57746410713,1.7978704551501683,8.502192497253422,10.300168991088865,16.17190748214708,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_84,494207.7937523056,235377.62032191415,2.0996379905464355,8.520696544647219,10.052421236038205,16.077098846435536,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_85,474824.0213307548,219240.25053443408,2.1657702916015347,8.277219963073733,9.90499882698059,15.767036905288688,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_86,301846.39282882924,135387.33383183254,2.229502452598402,6.435240983963014,7.60098669528961,12.306284666061373,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_87,263888.8521049363,269557.42670121964,0.9789708090567045,8.551931095123292,10.772640562057495,15.996327209472646,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_89,434898.4002566466,273651.7342930538,1.5892404313831743,8.03588161468506,9.501103210449216,14.831547985076902,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_91,521458.9892313037,254843.3448401853,2.0461942592941385,9.551535987854004,10.791361618041991,16.847370262145986,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_92,371747.93167578033,156798.85125554155,2.3708587703230517,7.7384740829467775,8.626925182342527,13.86244007110595,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_93,402084.46881255694,192885.20675550803,2.0845790902058123,7.96157169342041,9.250488615036007,14.655003519058223,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_94,285058.92634646606,136688.41269229693,2.085465188539208,6.6170741558074955,7.718307733535765,12.303719158172552,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_95,220832.20224895817,275337.27430153475,0.8020425233349062,8.410765743255617,10.778055810928343,16.617831211090085,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_96,256859.59679301234,165731.6493700721,1.5498524136416167,6.657563495635986,7.780730009078979,12.240180082321166,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_97,478481.55587684084,216011.62917299313,2.2150731315194534,8.249234867095948,9.87625789642334,15.68950984954829,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_98,515176.3431462415,222053.49211072945,2.3200551283802513,9.397980308532714,10.456711626052856,16.65958471298217,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_99,178645.67208322434,86416.06729682282,2.0672738030256608,5.001983404159547,5.963100194931029,9.452709732055656,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_100,502632.7203541582,241344.58920492543,2.082635131825447,8.291062831878662,10.016252183914181,16.072310028076142,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_101,509676.9808465116,271113.68802696775,1.8799382080472968,8.630828952789315,10.397786188125611,16.382473373413045,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_102,38241.67899292012,255420.31980446345,0.14972058222382606,6.313833618164063,8.40616006851196,14.098538675308209,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_104,423662.89507809177,204346.7656392924,2.0732547136367723,8.131133270263673,9.49413046836853,15.03142244338985,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_105,212005.0447914447,110543.18017131764,1.9178482513609927,6.042276000976564,6.899764347076416,10.9968593406677,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_106,88806.46933693613,63605.314396958245,1.3962114672163788,4.336377429962159,5.13510546684265,7.404705095291117,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_107,422739.27224595414,200903.4716106676,2.104190977173276,8.390282630920412,9.823783111572263,15.309831600189176,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_109,414790.2724325083,224338.68289075434,1.848946722373768,7.783132171630859,9.180979347229002,14.838084297180142,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_110,216423.22817050567,117222.1333354344,1.8462659056989228,5.942445325851442,6.862423944473265,10.958230762481676,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_111,-52628.766768174166,110218.73067028649,-0.47749385651709547,3.526404452323914,5.327201390266418,13.019953222274761,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
