case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_71,-0.5210389253365912,-0.6114267514745908,-0.09038782613799956
case_72,-0.9867616512565958,-0.36323448394228713,0.6235271673143086
case_73,-1.1939225248852878,-0.6601446422492288,0.5337778826360591
case_74,-0.8685546325581122,-0.6339102589398757,0.23464437361823642
case_75,-0.38736899608451036,-0.4815013311461503,-0.09413233506163993
case_77,-0.38845003652989796,-0.4644039471331867,-0.07595391060328877
case_78,-0.6039053121232052,-0.371461759676699,0.23244355244650622
case_79,-0.37470114445511005,-0.4699774826752841,-0.09527633822017406
case_81,-0.5620568262094654,-0.521463348689921,0.04059347751954445
case_82,-0.6112391019603942,-0.4938377449855171,0.11740135697487714
case_83,-0.5096393178646972,-0.4669022284768157,0.04273708938788151
case_84,-0.481018520904847,-0.49297129896850095,-0.011952778063653968
case_85,-0.4031827760117892,-0.46364405313081763,-0.060461277119028434
case_86,-0.3080093643746613,-0.559032276425772,-0.2510229120511107
case_87,-0.8202199174250397,-0.5553118283553644,0.26490808906967533
case_89,-0.7085238433184209,-0.5574783715992659,0.15104547171915494
case_91,-0.4475682362748614,-0.5530485451938303,-0.10548030891896887
case_92,-0.12631120572453103,-0.49841460030266466,-0.37210339457813363
case_93,-0.40944851296712415,-0.5156597122870099,-0.10621119931988576
case_94,-0.6546909106131027,-0.6185782939631865,0.03611261664991616
case_95,-1.018404245339494,-0.589176933144899,0.42922731219459487
case_96,-1.20851218670217,-0.5463319231706716,0.6621802635314984
case_97,-0.2311045689837563,-0.456471076585314,-0.2253665076015577
case_98,-0.10537062343085601,-0.49104516222254785,-0.38567453879169183
case_99,-0.059240749607263776,-0.4118895978120522,-0.3526488482047884
case_100,-0.4290061338894873,-0.49363290430185197,-0.0646267704123647
case_101,-0.5725357969122458,-0.46977011121390017,0.1027656856983456
case_102,-0.755969721885954,-0.5990672375816328,0.1569024843043212
case_104,-0.41443371305036525,-0.5018351469811533,-0.08740143393078803
case_105,-0.5867677835753327,-0.46394701495723273,0.12282076861809993
case_106,-0.3593291156485021,-0.4528784960923398,-0.0935493804438377
case_107,-0.5132656363641281,-0.4714491652970882,0.04181647106703995
case_109,-0.5042852806332077,-0.4984448871854435,0.005840393447764158
case_110,-0.615684308084623,-0.46266049721233654,0.1530238108722865
case_111,0.011215764581528065,-0.6096914086585921,-0.6209071732401201
case_114,-0.5498658050984835,-0.4232866252179845,0.126579179880499
case_115,-0.5292257513588501,-0.43570907883432747,0.09351667252452261
case_116,-0.44778621460004864,-0.4916612286597308,-0.04387501405968214
case_117,-0.6700814903547032,-0.5344688207698911,0.1356126695848121
case_118,-0.24108550622489133,-0.6524920400069134,-0.4114065337820221
case_119,-0.7451745329328929,-0.42595925166937093,0.319215281263522
case_120,-0.5601351151550329,-0.47381034483524936,0.08632477031978353
case_121,-0.4145195485453588,-0.4131682982942156,0.0013512502511431879
case_122,-0.52409475024211,-0.40476390980121874,0.11933084044089132
case_124,-0.297824172692593,-0.4128548928282941,-0.11503072013570109
case_125,-0.6707312954009534,-0.5370312216055817,0.13370007379537174
case_127,-0.44587657654808943,-0.3947012025539383,0.05117537399415112
case_128,-0.4352350368179523,-0.38641215258210765,0.04882288423584463
case_129,-0.3937913977873819,-0.4659373652034711,-0.0721459674160892
