case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_94,case_185,94,185,1.3036837075127707,0.1366587601290682,0.6890687586275618,0.006769319755641371,0.005576478318743653,0.07585422707510614,0.5407847317395056,0.03664788589411705,0.26734683518603114,0.2815931509398846,14,64,False,difference_exceeds_integrated_presplit_screen
case_127,case_129,127,129,0.9159967892771064,0.17335807676062653,0.9620790152225136,0.06171670564589373,0.012694414356754965,0.043338231372125176,0.24404852545556063,0.05948936602202934,0.5412415613420638,0.2815931509398846,63,33,False,difference_exceeds_integrated_presplit_screen
case_05,case_61,5,61,0.7354696732226087,0.1729829774112046,1.178058766538072,0.0055771664234347176,0.03568572169826727,0.07107453228490768,0.12578041723770367,0.05908329526419979,0.6600680168519365,0.28164390978461334,48,47,False,difference_exceeds_integrated_presplit_screen
case_140,case_179,140,179,0.7013843269457293,0.521023855306338,0.8631213982368064,0.10011681380496276,0.1275439069791684,0.10077012686938833,0.10887772194304858,0.28693974925130705,0.4492157758489417,0.28167774901443243,53,76,False,difference_exceeds_integrated_presplit_screen
case_93,case_105,93,105,0.8539491508172261,1.1677526891019419,0.34906223725681856,0.29110678339759527,0.28521472389576924,0.21834895652941833,0.19912694787066645,0.6202730825846404,0.02568397543271915,0.281694668629342,66,47,False,difference_exceeds_integrated_presplit_screen
case_144,case_157,144,157,0.8077650952019217,1.119645571405865,0.4630483106173008,0.2728188916710429,0.2555544094306519,0.16991443040588694,0.16791025836251966,0.5993604385564184,0.07801634434800264,0.28176234708898024,71,61,False,difference_exceeds_integrated_presplit_screen
case_152,case_168,152,168,1.041652767774717,0.8697463238605101,0.35963542301011964,0.1722687926674296,0.18477101212975505,0.2177074135011028,0.3412009542662809,0.4748489924369321,0.02923709456372773,0.28176234708898024,70,67,False,difference_exceeds_integrated_presplit_screen
case_03,case_41,3,41,1.026266587021616,0.3272162221341633,0.7710764637243983,0.06931830405203496,0.04008246902034712,0.012156867595630767,0.3293741434444952,0.16141312623724685,0.35480432465357087,0.28186386477843767,62,19,False,difference_exceeds_integrated_presplit_screen
case_70,case_140,70,140,0.895629588825077,0.2819091407785157,0.900449753408134,0.06532833942533069,0.01693609834563339,0.1430381848206507,0.22907466626059592,0.13202375513933304,0.48495000253794224,0.2820161413126237,55,54,False,difference_exceeds_integrated_presplit_screen
case_47,case_191,47,191,1.180404636718934,0.4104563627309774,0.6025655446475325,0.096049807112183,0.09616001496516038,0.011328155095365213,0.4489619816252982,0.2157250900969494,0.18141211106035227,0.2820330609275333,54,65,False,difference_exceeds_integrated_presplit_screen
case_78,case_155,78,155,0.724333604587054,1.060961932351996,0.5721452154813723,0.2932986257040731,0.2887503320141394,0.3240702142909723,0.12014618547281863,0.5711892797319933,0.15476371757778792,0.2820330609275333,19,49,False,difference_exceeds_integrated_presplit_screen
