case_id,n_elements,all_elements_used,case_equaliser,coordinate_source,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max,iteration
case_24,400360,True,1.0,derived_from_exported_xy,7.66337251663208,9.102337694168089,14.59939882278439,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_28,400360,True,1.0,derived_from_exported_xy,8.16353693008423,9.724851751327513,15.672686471939013,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_29,400360,True,1.0,derived_from_exported_xy,3.055029153823853,3.50241869688034,5.4425946283340405,1.240003996403237,0.9999999999999996,0.8064490137939926,6.451592110351941,2
case_32,400360,True,1.0,derived_from_exported_xy,8.342197036743167,10.015990829467771,15.115796918868979,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_34,400360,True,1.0,derived_from_exported_xy,7.029938602447512,8.226318550109863,12.876111402511585,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_35,400360,True,1.0,derived_from_exported_xy,5.815611219406129,6.875816249847412,10.138929128646827,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,2
case_36,400360,True,1.0,derived_from_exported_xy,6.371178054809575,9.813024330139159,19.2957092285156,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_40,400360,True,1.0,derived_from_exported_xy,7.539405775070191,8.88729267120361,14.066408891677813,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_44,400360,True,1.0,derived_from_exported_xy,7.955138158798219,9.196964502334595,14.862060785293576,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,2
case_45,400360,True,1.0,derived_from_exported_xy,8.678328609466552,10.862130212783812,15.904301156997667,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_48,400360,True,1.0,derived_from_exported_xy,8.957969093322754,10.65202441215515,16.89704576492309,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_49,400360,True,1.0,derived_from_exported_xy,8.614511680603032,10.265372943878171,16.352748069763166,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_51,400360,True,1.0,derived_from_exported_xy,5.316217565536501,6.196873641014097,9.536471252441398,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_52,400360,True,1.0,derived_from_exported_xy,8.210784435272217,9.567922735214232,15.024835319519037,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_54,400360,True,1.0,derived_from_exported_xy,8.060875701904298,9.406452131271362,14.854768409728997,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_56,400360,True,1.0,derived_from_exported_xy,7.545088195800784,9.012357282638549,12.885962295532151,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_57,400360,True,1.0,derived_from_exported_xy,8.346374702453614,9.728502988815302,14.611289510726927,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_58,400360,True,1.0,derived_from_exported_xy,5.742211008071901,6.500666666030883,10.108694267272929,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_59,400360,True,1.0,derived_from_exported_xy,8.079314613342287,9.45020728111267,14.667274990081749,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_60,400360,True,1.0,derived_from_exported_xy,8.39782257080078,9.96433162689209,15.850470104217512,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_61,400360,True,1.0,derived_from_exported_xy,8.40147466659546,9.68325624465942,15.157886562347406,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_62,400360,True,1.0,derived_from_exported_xy,3.834617543220521,4.507473468780517,6.4952899599075264,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_64,400360,True,1.0,derived_from_exported_xy,5.991517400741579,6.892904663085936,10.860165023803638,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_66,400360,True,1.0,derived_from_exported_xy,6.3177044868469245,8.640856552124024,14.484742507934437,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_67,400360,True,1.0,derived_from_exported_xy,8.129978370666503,9.483993959426876,15.007321405410755,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_71,400360,True,1.0,derived_from_exported_xy,6.812291240692138,7.7705615758895865,12.114842939376807,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,2
case_72,400360,True,1.0,derived_from_exported_xy,4.210915660858155,4.794327330589294,7.4184241771698,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_73,400360,True,1.0,derived_from_exported_xy,5.935178899765017,8.22641882896423,14.632464952468844,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_74,400360,True,1.0,derived_from_exported_xy,7.925480604171754,9.183551406860351,13.751770725250228,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
