split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
internal_test,case_20,p95_relative_error,0.03855965076902748,0.0385596507690274,8.326672684688674e-17,1e-06,True
internal_test,case_20,p99_relative_error,0.18063489954560014,0.1806348995456001,2.7755575615628914e-17,1e-06,True
internal_test,case_20,p99_underprediction_fraction,0.18063489954560014,0.1806348995456001,2.7755575615628914e-17,1e-06,True
internal_test,case_20,prediction_abs_max_ratio,0.7588006529117698,0.7588006529117698,0.0,1e-06,True
internal_test,case_20,top5pct_hotspot_overlap,0.47552203017284445,0.4755220301728444,5.551115123125783e-17,1e-06,True
internal_test,case_20,top1pct_hotspot_overlap,0.46228771228771226,0.4622877122877122,5.551115123125783e-17,1e-06,True
internal_test,case_20,top1_recall_in_predicted_top5,0.8528971028971029,0.8528971028971029,0.0,1e-06,True
internal_test,case_27,rmse,1.7416205781762437,1.7416205781762435,2.220446049250313e-16,1.7416205781762435e-06,True
internal_test,case_27,r2,0.5442732505565178,0.5442732505565178,0.0,1e-06,True
internal_test,case_27,predicted_mean,5.0674726276961275,5.067472627696128,8.881784197001252e-16,5.067472627696128e-06,True
internal_test,case_27,predicted_p95,9.400388128999625,9.400388128999625,0.0,9.400388128999624e-06,True
internal_test,case_27,predicted_p99,11.981336411478619,11.98133641147862,1.7763568394002505e-15,1.198133641147862e-05,True
internal_test,case_27,predicted_max,24.743627943807546,24.743627943807542,3.552713678800501e-15,2.474362794380754e-05,True
internal_test,case_27,p95_relative_error,0.15867971862257155,0.1586797186225715,5.551115123125783e-17,1e-06,True
internal_test,case_27,p99_relative_error,0.08620263187017876,0.0862026318701787,6.938893903907228e-17,1e-06,True
internal_test,case_27,p99_underprediction_fraction,0.08620263187017876,0.0862026318701787,6.938893903907228e-17,1e-06,True
internal_test,case_27,prediction_abs_max_ratio,0.9090702004873566,0.9090702004873566,0.0,1e-06,True
internal_test,case_27,top5pct_hotspot_overlap,0.47487261464681785,0.4748726146468178,5.551115123125783e-17,1e-06,True
internal_test,case_27,top1pct_hotspot_overlap,0.45904095904095904,0.459040959040959,5.551115123125783e-17,1e-06,True
internal_test,case_27,top1_recall_in_predicted_top5,0.8461538461538461,0.8461538461538461,0.0,1e-06,True
internal_test,case_42,rmse,2.5885977849876602,2.58859778498766,4.440892098500626e-16,2.5885977849876596e-06,True
internal_test,case_42,r2,0.03740050887980595,0.0374005088798059,4.85722573273506e-17,1e-06,True
internal_test,case_42,predicted_mean,4.131864553276384,4.131864553276384,0.0,4.131864553276384e-06,True
internal_test,case_42,predicted_p95,10.04311436713379,10.04311436713379,0.0,1.0043114367133789e-05,True
internal_test,case_42,predicted_p99,13.650067039985537,13.650067039985537,0.0,1.3650067039985537e-05,True
internal_test,case_42,predicted_max,29.215564301822354,29.215564301822354,0.0,2.9215564301822352e-05,True
internal_test,case_42,p95_relative_error,0.12688448777219494,0.1268844877721949,2.7755575615628914e-17,1e-06,True
internal_test,case_42,p99_relative_error,0.008680195233775358,0.0086801952337753,5.898059818321144e-17,1e-06,True
internal_test,case_42,p99_underprediction_fraction,0.008680195233775358,0.0086801952337753,5.898059818321144e-17,1e-06,True
internal_test,case_42,prediction_abs_max_ratio,1.1794757066883936,1.1794757066883936,0.0,1.1794757066883935e-06,True
internal_test,case_42,top5pct_hotspot_overlap,0.46353282046158456,0.4635328204615845,5.551115123125783e-17,1e-06,True
internal_test,case_42,top1pct_hotspot_overlap,0.4822677322677323,0.4822677322677323,0.0,1e-06,True
internal_test,case_42,top1_recall_in_predicted_top5,0.9028471528471529,0.9028471528471528,1.1102230246251565e-16,1e-06,True
internal_test,case_43,rmse,2.549581136749267,2.549581136749267,0.0,2.5495811367492666e-06,True
internal_test,case_43,r2,0.07471916527287126,0.0747191652728712,5.551115123125783e-17,1e-06,True
internal_test,case_43,predicted_mean,4.2880221972762635,4.288022197276264,8.881784197001252e-16,4.288022197276264e-06,True
internal_test,case_43,predicted_p95,10.152080028285058,10.152080028285058,0.0,1.0152080028285057e-05,True
internal_test,case_43,predicted_p99,13.725204402274231,13.725204402274231,0.0,1.372520440227423e-05,True
internal_test,case_43,predicted_max,29.11386604175446,29.11386604175446,0.0,2.9113866041754458e-05,True
internal_test,case_43,p95_relative_error,0.12733682149404624,0.1273368214940462,2.7755575615628914e-17,1e-06,True
internal_test,case_43,p99_relative_error,0.009115241112194134,0.0091152411121941,3.2959746043559335e-17,1e-06,True
internal_test,case_43,p99_underprediction_fraction,0.0,0.0,0.0,1e-06,True
internal_test,case_43,prediction_abs_max_ratio,1.184631705191855,1.184631705191855,0.0,1.1846317051918548e-06,True
internal_test,case_43,top5pct_hotspot_overlap,0.4521930262763513,0.4521930262763513,0.0,1e-06,True
internal_test,case_43,top1pct_hotspot_overlap,0.49775224775224775,0.4977522477522477,5.551115123125783e-17,1e-06,True
internal_test,case_43,top1_recall_in_predicted_top5,0.9043456543456544,0.9043456543456544,0.0,1e-06,True
internal_test,case_68,rmse,2.744421683637952,2.744421683637952,0.0,2.744421683637952e-06,True
internal_test,case_68,r2,0.08846600873223898,0.0884660087322389,8.326672684688674e-17,1e-06,True
internal_test,case_68,predicted_mean,4.150800435843504,4.150800435843504,0.0,4.1508004358435035e-06,True
internal_test,case_68,predicted_p95,9.76067585266475,9.76067585266475,0.0,9.76067585266475e-06,True
internal_test,case_68,predicted_p99,13.202130596875895,13.202130596875897,1.7763568394002505e-15,1.3202130596875895e-05,True
internal_test,case_68,predicted_max,28.030213280298955,28.030213280298955,0.0,2.8030213280298954e-05,True
internal_test,case_68,p95_relative_error,0.009041573601606618,0.0090415736016066,1.734723475976807e-17,1e-06,True
internal_test,case_68,p99_relative_error,0.07059090633921784,0.0705909063392178,4.163336342344337e-17,1e-06,True
internal_test,case_68,p99_underprediction_fraction,0.07059090633921784,0.0705909063392178,4.163336342344337e-17,1e-06,True
internal_test,case_68,prediction_abs_max_ratio,0.9220528068334106,0.9220528068334106,0.0,1e-06,True
internal_test,case_68,top5pct_hotspot_overlap,0.4354081326805875,0.4354081326805875,0.0,1e-06,True
internal_test,case_68,top1pct_hotspot_overlap,0.4537962037962038,0.4537962037962038,0.0,1e-06,True
internal_test,case_68,top1_recall_in_predicted_top5,0.8896103896103896,0.8896103896103896,0.0,1e-06,True
internal_test,case_84,rmse,1.9277299214415569,1.9277299214415569,0.0,1.927729921441557e-06,True
internal_test,case_84,r2,0.6326515159324826,0.6326515159324826,0.0,1e-06,True
internal_test,case_84,predicted_mean,5.79021221596077,5.79021221596077,0.0,5.790212215960769e-06,True
internal_test,case_84,predicted_p95,10.484143656334943,10.484143656334943,0.0,1.0484143656334942e-05,True
internal_test,case_84,predicted_p99,13.221328970464292,13.221328970464292,0.0,1.322132897046429e-05,True
internal_test,case_84,predicted_max,26.917898150981486,26.91789815098149,3.552713678800501e-15,2.6917898150981488e-05,True
internal_test,case_84,p95_relative_error,0.04294710798120972,0.0429471079812097,2.0816681711721685e-17,1e-06,True
internal_test,case_84,p99_relative_error,0.1776296770486299,0.1776296770486299,0.0,1e-06,True
