case_id,case_number,feature,spearman,pearson,n_elements
case_66,66,theta_sin,0.03983680195382315,-0.017151368803113163,400360
case_66,66,theta_cos,-0.039836877741773406,-0.01308083970058523,400360
case_67,67,fluence_rate,0.08471755145949211,-0.24333699681619816,400360
case_67,67,temperature,-0.06691037811806247,-0.21618201174447432,400360
case_67,67,weight_loss_rate,-0.09861541494387621,-0.2731552512573619,400360
case_67,67,rho,0.0578815794486123,0.21389277227930875,400360
case_67,67,theta,0.05315657422733517,0.0674711535049306,400360
case_67,67,z,0.19859432024968235,0.15290328340011622,400360
case_67,67,theta_sin,0.0531565737868235,0.06813111297448934,400360
case_67,67,theta_cos,-0.053156588563587286,-0.05921031985899481,400360
case_68,68,fluence_rate,-0.37078075514155445,-0.513284102594853,400360
case_68,68,temperature,-0.3153441475735254,-0.39055328389419014,400360
case_68,68,weight_loss_rate,-0.4343356624111896,-0.44536212657881113,400360
case_68,68,rho,0.29307965841308176,0.3987951973028657,400360
case_68,68,theta,0.045988709420110525,0.019180440913008315,400360
case_68,68,z,-0.007013567906763029,0.019742011123691842,400360
case_68,68,theta_sin,0.04598870791860792,0.017642438374324863,400360
case_68,68,theta_cos,-0.04598876677637246,-0.029241152816665963,400360
case_69,69,fluence_rate,0.17068021266525027,-0.2110061109553619,400360
case_69,69,temperature,0.01613913614384479,-0.1800240885660708,400360
case_69,69,weight_loss_rate,0.01341861405692521,-0.24436628577359942,400360
case_69,69,rho,-0.014902234101717985,0.16922679646840588,400360
case_69,69,theta,0.046572051235470854,0.0660063871784081,400360
case_69,69,z,0.23615545046699066,0.17657264456250743,400360
case_69,69,theta_sin,0.046572051030416554,0.06643184626253774,400360
case_69,69,theta_cos,-0.04657211826865241,-0.05912552894444927,400360
case_71,71,fluence_rate,0.04895035062937121,-0.2727404839570327,400360
case_71,71,temperature,-0.11756831029528592,-0.1980118115910717,400360
case_71,71,weight_loss_rate,-0.12359783603968742,-0.1126817025595125,400360
case_71,71,rho,0.11874240262971625,0.26447927351526457,400360
case_71,71,theta,0.035823945347229304,0.05476570618083773,400360
case_71,71,z,0.18473593872136915,0.13941309556510226,400360
case_71,71,theta_sin,0.03582394531162765,0.0545114277118326,400360
case_71,71,theta_cos,-0.035824047452272745,-0.05301600958350523,400360
case_72,72,fluence_rate,0.0917475720461352,-0.23422079643035476,400360
case_72,72,temperature,0.012580087353172483,-0.023532711466336908,400360
case_72,72,weight_loss_rate,-0.13646494576983056,-0.4228678084206657,400360
case_72,72,rho,0.07655210386106934,0.2362155468050313,400360
case_72,72,theta,0.05153177222688177,0.06429773468701247,400360
case_72,72,z,0.26156241132308844,0.20932593671854893,400360
case_72,72,theta_sin,0.0515317712132237,0.06496717170663847,400360
case_72,72,theta_cos,-0.05153191814670814,-0.05605028951036923,400360
case_73,73,fluence_rate,-0.38415696467243143,-0.6769827570990397,400360
case_73,73,temperature,-0.30596572665032185,-0.41672983443630224,400360
case_73,73,weight_loss_rate,-0.39697687660755976,-0.6479436682052672,400360
case_73,73,rho,0.27970030944056784,0.3983415016473568,400360
case_73,73,theta,0.053880914201427446,-0.011844304967286489,400360
case_73,73,z,0.007897457292629502,0.03523883733056073,400360
case_73,73,theta_sin,0.05388091433810161,-0.015485669913647786,400360
case_73,73,theta_cos,-0.053881007946954225,-0.013548532920847161,400360
case_74,74,fluence_rate,-0.05838679848406083,-0.3054547588025543,400360
case_74,74,temperature,-0.17109980046277037,-0.28794537435065487,400360
case_74,74,weight_loss_rate,-0.1176848211500606,-0.2853653337328134,400360
case_74,74,rho,0.15249747558915325,0.2872724885923513,400360
case_74,74,theta,0.03632264876730697,0.05034170444682556,400360
case_74,74,z,0.13340607898842496,0.10717372903908545,400360
case_74,74,theta_sin,0.03632264810829332,0.0500162007681295,400360
case_74,74,theta_cos,-0.03632269986247282,-0.049588144353795806,400360
case_75,75,fluence_rate,0.12428903896198135,-0.224549396877776,400360
case_75,75,temperature,-0.05501573896397055,-0.1939063727400613,400360
case_75,75,weight_loss_rate,0.01839069886566854,-0.29585550060535026,400360
case_75,75,rho,0.029133564006851517,0.19067171383387693,400360
case_75,75,theta,0.054366687725635285,0.07028748134965579,400360
case_75,75,z,0.22513502629919518,0.16958273901095988,400360
case_75,75,theta_sin,0.05436668602105485,0.07060951407333119,400360
case_75,75,theta_cos,-0.05436675517231719,-0.06429483195534302,400360
case_77,77,fluence_rate,0.16042745337602857,-0.1756212171525701,400360
case_77,77,temperature,0.0255059145777276,-0.166366968381807,400360
case_77,77,weight_loss_rate,-0.03634220489920511,-0.37365781314340385,400360
case_77,77,rho,-0.02024253886643235,0.16067410282616648,400360
