case_id,case_number,file_name,file_path,size_mb,n_elements_from_line_count,header
case_76,76,FE_Results_Case_76.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_76.txt,33.906132,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_77,77,FE_Results_Case_77.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_77.txt,33.908822,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_78,78,FE_Results_Case_78.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_78.txt,33.905267,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_79,79,FE_Results_Case_79.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_79.txt,33.922952,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_80,80,FE_Results_Case_80.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_80.txt,33.900721,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_81,81,FE_Results_Case_81.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_81.txt,33.9261,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_82,82,FE_Results_Case_82.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_82.txt,33.920066,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_83,83,FE_Results_Case_83.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_83.txt,33.924872,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_84,84,FE_Results_Case_84.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_84.txt,33.923377,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_85,85,FE_Results_Case_85.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_85.txt,33.922156,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_86,86,FE_Results_Case_86.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_86.txt,33.909238,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_87,87,FE_Results_Case_87.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_87.txt,33.929442,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_88,88,FE_Results_Case_88.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_88.txt,33.926849,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_89,89,FE_Results_Case_89.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_89.txt,33.918696,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_90,90,FE_Results_Case_90.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_90.txt,33.913038,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_91,91,FE_Results_Case_91.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_91.txt,33.933798,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
