case_id,variable,provisional_lower,provisional_upper,observed_min,observed_max,n_below,n_above,fraction_outside,action
case_47,sigma_max_principal,-70.0,35.0,-2.7379000186920166,29.597883224487305,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_48,fluence_rate,0.0,7.0,2.7491469383239746,5.1767730712890625,0,0,0.0,flag_only_no_clipping
case_48,temperature,25.0,600.0,351.1097412109375,448.1915588378906,0,0,0.0,flag_only_no_clipping
case_48,weight_loss_rate,0.0,2.0,0.2791770100593567,0.6612039804458618,0,0,0.0,flag_only_no_clipping
case_48,sigma_max_principal,-70.0,35.0,-3.0015978813171387,36.57381820678711,0,26,6.49415526026576e-05,flag_only_pending_stress_sign_and_mesh_review
case_49,fluence_rate,0.0,7.0,2.7748780250549316,5.168129920959473,0,0,0.0,flag_only_no_clipping
case_49,temperature,25.0,600.0,345.2145690917969,447.58148193359375,0,0,0.0,flag_only_no_clipping
case_49,weight_loss_rate,0.0,2.0,0.25788798928260803,0.6389219760894775,0,0,0.0,flag_only_no_clipping
case_49,sigma_max_principal,-70.0,35.0,-2.935966968536377,34.92753982543945,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_51,fluence_rate,0.0,7.0,2.8616979122161865,5.11480712890625,0,0,0.0,flag_only_no_clipping
case_51,temperature,25.0,600.0,345.8239440917969,447.30572509765625,0,0,0.0,flag_only_no_clipping
case_51,weight_loss_rate,0.0,2.0,0.2689479887485504,0.6333159804344177,0,0,0.0,flag_only_no_clipping
case_51,sigma_max_principal,-70.0,35.0,-1.8360940217971802,19.359146118164062,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_52,fluence_rate,0.0,7.0,2.7495241165161133,5.18390417098999,0,0,0.0,flag_only_no_clipping
case_52,temperature,25.0,600.0,347.5853271484375,447.37152099609375,0,0,0.0,flag_only_no_clipping
case_52,weight_loss_rate,0.0,2.0,0.33340299129486084,0.6626970171928406,0,0,0.0,flag_only_no_clipping
case_52,sigma_max_principal,-70.0,35.0,-2.960237979888916,33.935302734375,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_54,fluence_rate,0.0,7.0,2.7776269912719727,5.185591220855713,0,0,0.0,flag_only_no_clipping
case_54,temperature,25.0,600.0,347.909912109375,446.5751647949219,0,0,0.0,flag_only_no_clipping
case_54,weight_loss_rate,0.0,2.0,0.2987860143184662,0.6655380129814148,0,0,0.0,flag_only_no_clipping
case_54,sigma_max_principal,-70.0,35.0,-2.837454080581665,33.38887405395508,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_56,fluence_rate,0.0,7.0,2.9921300411224365,5.185006141662598,0,0,0.0,flag_only_no_clipping
case_56,temperature,25.0,600.0,349.5623779296875,444.0361022949219,0,0,0.0,flag_only_no_clipping
case_56,weight_loss_rate,0.0,2.0,0.28028398752212524,0.6343129873275757,0,0,0.0,flag_only_no_clipping
case_56,sigma_max_principal,-70.0,35.0,-2.4984290599823,27.991840362548828,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_57,fluence_rate,0.0,7.0,2.7758259773254395,5.178701877593994,0,0,0.0,flag_only_no_clipping
case_57,temperature,25.0,600.0,352.4412841796875,448.366455078125,0,0,0.0,flag_only_no_clipping
case_57,weight_loss_rate,0.0,2.0,0.3062500059604645,0.6822059750556946,0,0,0.0,flag_only_no_clipping
case_57,sigma_max_principal,-70.0,35.0,-2.8519480228424072,32.06071853637695,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_58,fluence_rate,0.0,7.0,2.7478349208831787,5.104435920715332,0,0,0.0,flag_only_no_clipping
case_58,temperature,25.0,600.0,350.2341613769531,448.1765441894531,0,0,0.0,flag_only_no_clipping
case_58,weight_loss_rate,0.0,2.0,0.32093098759651184,0.6533219814300537,0,0,0.0,flag_only_no_clipping
case_58,sigma_max_principal,-70.0,35.0,-1.946300983428955,20.552814483642578,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_59,fluence_rate,0.0,7.0,2.758544921875,5.172412872314453,0,0,0.0,flag_only_no_clipping
case_59,temperature,25.0,600.0,352.3162841796875,448.81634521484375,0,0,0.0,flag_only_no_clipping
case_59,weight_loss_rate,0.0,2.0,0.30424201488494873,0.6793839931488037,0,0,0.0,flag_only_no_clipping
case_59,sigma_max_principal,-70.0,35.0,-2.818087100982666,32.03961944580078,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_60,fluence_rate,0.0,7.0,2.8215079307556152,5.179694175720215,0,0,0.0,flag_only_no_clipping
case_60,temperature,25.0,600.0,346.4717712402344,444.1846008300781,0,0,0.0,flag_only_no_clipping
case_60,weight_loss_rate,0.0,2.0,0.2681039869785309,0.622859001159668,0,0,0.0,flag_only_no_clipping
case_60,sigma_max_principal,-70.0,35.0,-2.851515054702759,36.91607666015625,0,19,4.745728844040364e-05,flag_only_pending_stress_sign_and_mesh_review
case_61,fluence_rate,0.0,7.0,2.768143892288208,5.187943935394287,0,0,0.0,flag_only_no_clipping
case_61,temperature,25.0,600.0,351.3229064941406,447.0738220214844,0,0,0.0,flag_only_no_clipping
case_61,weight_loss_rate,0.0,2.0,0.27817898988723755,0.6242049932479858,0,0,0.0,flag_only_no_clipping
case_61,sigma_max_principal,-70.0,35.0,-2.9379959106445312,33.85128402709961,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_62,fluence_rate,0.0,7.0,2.91178297996521,5.200133800506592,0,0,0.0,flag_only_no_clipping
case_62,temperature,25.0,600.0,341.6856384277344,431.7369079589844,0,0,0.0,flag_only_no_clipping
case_62,weight_loss_rate,0.0,2.0,0.31741800904273987,0.661952018737793,0,0,0.0,flag_only_no_clipping
case_62,sigma_max_principal,-70.0,35.0,-1.368865966796875,14.41285228729248,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_63,fluence_rate,0.0,7.0,3.0179500579833984,5.2650299072265625,0,0,0.0,flag_only_no_clipping
case_63,temperature,25.0,600.0,352.3106994628906,448.66607666015625,0,0,0.0,flag_only_no_clipping
case_63,weight_loss_rate,0.0,2.0,0.30215901136398315,0.6750959753990173,0,0,0.0,flag_only_no_clipping
case_63,sigma_max_principal,-70.0,35.0,-2.059345006942749,25.949066162109375,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_64,fluence_rate,0.0,7.0,2.7621240615844727,5.155342102050781,0,0,0.0,flag_only_no_clipping
case_64,temperature,25.0,600.0,345.0087890625,432.0075378417969,0,0,0.0,flag_only_no_clipping
case_64,weight_loss_rate,0.0,2.0,0.2679150104522705,0.6211310029029846,0,0,0.0,flag_only_no_clipping
case_64,sigma_max_principal,-70.0,35.0,-1.9461480379104614,23.340909957885742,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_66,fluence_rate,0.0,7.0,3.15863299369812,5.368753910064697,0,0,0.0,flag_only_no_clipping
case_66,temperature,25.0,600.0,345.51922607421875,447.3264465332031,0,0,0.0,flag_only_no_clipping
case_66,weight_loss_rate,0.0,2.0,0.2938989996910095,0.623553991317749,0,0,0.0,flag_only_no_clipping
case_66,sigma_max_principal,-70.0,35.0,-2.2705891132354736,22.389339447021484,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_67,fluence_rate,0.0,7.0,2.763874053955078,5.188252925872803,0,0,0.0,flag_only_no_clipping
case_67,temperature,25.0,600.0,346.4131164550781,446.21044921875,0,0,0.0,flag_only_no_clipping
case_67,weight_loss_rate,0.0,2.0,0.33395901322364807,0.6611059904098511,0,0,0.0,flag_only_no_clipping
case_67,sigma_max_principal,-70.0,35.0,-3.080249071121216,33.35513687133789,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_68,fluence_rate,0.0,7.0,3.023252010345459,5.289210796356201,0,0,0.0,flag_only_no_clipping
case_68,temperature,25.0,600.0,350.3910827636719,446.34661865234375,0,0,0.0,flag_only_no_clipping
case_68,weight_loss_rate,0.0,2.0,0.27935901284217834,0.6437190175056458,0,0,0.0,flag_only_no_clipping
case_68,sigma_max_principal,-70.0,35.0,-2.4326980113983154,30.399791717529297,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_69,fluence_rate,0.0,7.0,2.773071050643921,5.16845703125,0,0,0.0,flag_only_no_clipping
case_69,temperature,25.0,600.0,347.4131774902344,445.9034423828125,0,0,0.0,flag_only_no_clipping
case_69,weight_loss_rate,0.0,2.0,0.26524901390075684,0.6285290122032166,0,0,0.0,flag_only_no_clipping
case_69,sigma_max_principal,-70.0,35.0,-2.9553120136260986,32.95534896850586,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_71,fluence_rate,0.0,7.0,2.756632089614868,5.169067859649658,0,0,0.0,flag_only_no_clipping
case_71,temperature,25.0,600.0,349.7182312011719,446.1650695800781,0,0,0.0,flag_only_no_clipping
case_71,weight_loss_rate,0.0,2.0,0.38948601484298706,0.6905210018157959,0,0,0.0,flag_only_no_clipping
case_71,sigma_max_principal,-70.0,35.0,-2.3517019748687744,25.56398582458496,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_72,fluence_rate,0.0,7.0,2.7559409141540527,5.184566020965576,0,0,0.0,flag_only_no_clipping
case_72,temperature,25.0,600.0,343.302001953125,431.9429016113281,0,0,0.0,flag_only_no_clipping
case_72,weight_loss_rate,0.0,2.0,0.2801620066165924,0.6614480018615723,0,0,0.0,flag_only_no_clipping
case_72,sigma_max_principal,-70.0,35.0,-1.3123329877853394,16.875072479248047,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_73,fluence_rate,0.0,7.0,3.166369915008545,5.285124778747559,0,0,0.0,flag_only_no_clipping
case_73,temperature,25.0,600.0,347.4646301269531,445.7125244140625,0,0,0.0,flag_only_no_clipping
case_73,weight_loss_rate,0.0,2.0,0.3035930097103119,0.6693969964981079,0,0,0.0,flag_only_no_clipping
case_73,sigma_max_principal,-70.0,35.0,-2.2201459407806396,22.04593849182129,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_74,fluence_rate,0.0,7.0,2.929440975189209,5.204529762268066,0,0,0.0,flag_only_no_clipping
case_74,temperature,25.0,600.0,346.4970397949219,444.8883056640625,0,0,0.0,flag_only_no_clipping
case_74,weight_loss_rate,0.0,2.0,0.29941898584365845,0.6321939826011658,0,0,0.0,flag_only_no_clipping
case_74,sigma_max_principal,-70.0,35.0,-2.734349012374878,29.059873580932617,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_75,fluence_rate,0.0,7.0,2.761620044708252,5.176420211791992,0,0,0.0,flag_only_no_clipping
case_75,temperature,25.0,600.0,347.7839660644531,446.85931396484375,0,0,0.0,flag_only_no_clipping
case_75,weight_loss_rate,0.0,2.0,0.32815098762512207,0.6431869864463806,0,0,0.0,flag_only_no_clipping
case_75,sigma_max_principal,-70.0,35.0,-2.852257013320923,35.16933822631836,0,1,2.4977520231791387e-06,flag_only_pending_stress_sign_and_mesh_review
case_77,fluence_rate,0.0,7.0,2.7823760509490967,5.099134922027588,0,0,0.0,flag_only_no_clipping
case_77,temperature,25.0,600.0,347.437255859375,445.9133605957031,0,0,0.0,flag_only_no_clipping
case_77,weight_loss_rate,0.0,2.0,0.2759450078010559,0.5917149782180786,0,0,0.0,flag_only_no_clipping
case_77,sigma_max_principal,-70.0,35.0,-2.053375005722046,23.54745101928711,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_78,fluence_rate,0.0,7.0,2.780771017074585,5.1860527992248535,0,0,0.0,flag_only_no_clipping
case_78,temperature,25.0,600.0,345.6236267089844,433.44622802734375,0,0,0.0,flag_only_no_clipping
case_78,weight_loss_rate,0.0,2.0,0.2701460123062134,0.664002001285553,0,0,0.0,flag_only_no_clipping
case_78,sigma_max_principal,-70.0,35.0,-1.574489951133728,20.279897689819336,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_79,fluence_rate,0.0,7.0,2.760723114013672,5.174858093261719,0,0,0.0,flag_only_no_clipping
case_79,temperature,25.0,600.0,347.4461975097656,447.71356201171875,0,0,0.0,flag_only_no_clipping
case_79,weight_loss_rate,0.0,2.0,0.27841299772262573,0.6416640281677246,0,0,0.0,flag_only_no_clipping
case_79,sigma_max_principal,-70.0,35.0,-2.9882700443267822,36.246280670166016,0,10,2.4977520231791387e-05,flag_only_pending_stress_sign_and_mesh_review
case_81,fluence_rate,0.0,7.0,2.7744131088256836,5.167428970336914,0,0,0.0,flag_only_no_clipping
case_81,temperature,25.0,600.0,354.2210388183594,450.3314514160156,0,0,0.0,flag_only_no_clipping
case_81,weight_loss_rate,0.0,2.0,0.28064000606536865,0.6607829928398132,0,0,0.0,flag_only_no_clipping
case_81,sigma_max_principal,-70.0,35.0,-3.1270580291748047,35.2658805847168,0,2,4.9955040463582775e-06,flag_only_pending_stress_sign_and_mesh_review
case_82,fluence_rate,0.0,7.0,2.7534101009368896,5.183825969696045,0,0,0.0,flag_only_no_clipping
case_82,temperature,25.0,600.0,348.1375732421875,445.5933837890625,0,0,0.0,flag_only_no_clipping
case_82,weight_loss_rate,0.0,2.0,0.28173500299453735,0.6613919734954834,0,0,0.0,flag_only_no_clipping
case_82,sigma_max_principal,-70.0,35.0,-2.880561113357544,34.473167419433594,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_83,fluence_rate,0.0,7.0,2.7607169151306152,5.1848249435424805,0,0,0.0,flag_only_no_clipping
case_83,temperature,25.0,600.0,345.6745300292969,447.8851623535156,0,0,0.0,flag_only_no_clipping
case_83,weight_loss_rate,0.0,2.0,0.264849990606308,0.6294469833374023,0,0,0.0,flag_only_no_clipping
case_83,sigma_max_principal,-70.0,35.0,-2.9481360912323,37.063751220703125,0,21,5.2452792486761915e-05,flag_only_pending_stress_sign_and_mesh_review
case_84,fluence_rate,0.0,7.0,2.762173891067505,5.165102005004883,0,0,0.0,flag_only_no_clipping
case_84,temperature,25.0,600.0,346.0419006347656,445.3526306152344,0,0,0.0,flag_only_no_clipping
