case_id,case_number,n_elements,stress_mean,stress_std,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max,theta_sin_mean,theta_sin_std,theta_sin_min,theta_sin_p95,theta_sin_max,theta_cos_mean,theta_cos_std,theta_cos_min,theta_cos_p95,theta_cos_max
case_35,35,400360,3.846318006515503,2.0425357818603516,6.875816249847412,10.138929128646827,21.769367218017578,0.05240283744629833,3.4408388137817383,0.39711377024650574,2.759995937347412,4.375041961669922,5.15447998046875,371.5977478027344,14.876484870910645,346.4566955566406,408.7979736328125,432.19158935546875,0.6220473647117615,0.04420861974358559,0.32864901423454285,0.6585180163383484,0.703665018081665,187.2757110595703,17.347740173339844,130.0350799560547,212.2375190734863,222.92352294921875,0.344146192073822,0.14114993810653687,0.007523300126194954,0.5585414946079252,0.7734843492507935,443.0594787597656,256.7676696777344,1.7715059518814087,841.9433044433594,884.7328491210938,0.33397960662841797,0.13126127421855927,0.007523229345679283,0.5299498975276946,0.6986324191093445,0.932052731513977,0.050060730427503586,0.7154807448387146,0.9922965824604034,0.9999716877937317
case_36,36,400360,3.0640299320220947,3.4890124797821045,9.813024330139159,19.2957092285156,31.747325897216797,0.09026875811769408,4.85212516784668,0.264154314994812,3.1361310482025146,5.117259979248047,5.353445053100586,433.7020263671875,10.608501434326172,357.5941162109375,446.0522766113281,449.8446044921875,0.4091252386569977,0.05243874713778496,0.3271830081939697,0.5481550097465515,0.6401910185813904,189.159423828125,17.49432373046875,131.19432067871094,214.28551330566407,225.06521606445312,0.3439505100250244,0.14085613191127777,0.007532288320362568,0.5567762553691863,0.7734647393226624,446.3587951660156,258.55877685546875,1.7315330505371094,848.0761779785156,890.9287719726562,0.3338102698326111,0.1309901922941208,0.00753221707418561,0.5284521132707595,0.6986184120178223,0.9321569800376892,0.049955278635025024,0.7154944539070129,0.9922410309314728,0.9999716281890869
case_39,39,400360,3.0877292156219482,2.016941785812378,6.646077251434326,10.974815073013293,22.030895233154297,0.05591967229493456,3.9490442276000977,0.3113228678703308,2.978343963623047,4.5900468826293945,5.221761226654053,399.2710266113281,7.977405071258545,355.8565673828125,408.46160888671875,442.1180725097656,0.5030649900436401,0.04402286559343338,0.3024980127811432,0.5717719793319702,0.6750900149345398,187.424072265625,17.35945701599121,130.0586395263672,212.38587799072266,223.22325134277344,0.3440855145454407,0.14106500148773193,0.007529146503657103,0.5579030752182006,0.7734771966934204,443.2427673339844,256.8382263183594,1.7515230178833008,842.3051208496094,884.9995727539062,0.33392685651779175,0.13118326663970947,0.0075290752574801445,0.5294083982706069,0.6986273527145386,0.9320841431617737,0.05002928525209427,0.715485692024231,0.9922852516174316,0.9999716281890869
case_40,40,400360,5.041595458984375,2.766361951828003,8.88729267120361,14.066408891677813,32.35271072387695,0.05476820861224897,3.476468086242676,0.40113863348960876,2.761162042617798,4.402723789215088,5.189236164093018,375.66583251953125,16.153501510620117,346.0698547363281,416.1701965332031,432.421630859375,0.35583338141441345,0.055456943809986115,0.269553005695343,0.4885160028934479,0.6253079771995544,187.37213134765625,17.37830352783203,130.10067749023438,212.38616104125975,223.05816650390625,0.344251424074173,0.14121854305267334,0.0075204637832939625,0.5588794052600861,0.7734938859939575,443.2344055175781,256.8791198730469,1.7740269899368286,842.2842742919922,885.0723266601562,0.3340746760368347,0.1313219964504242,0.007520393002778292,0.5302364289760589,0.6986392736434937,0.9320082068443298,0.050092149525880814,0.7154740691184998,0.992300632596016,0.9999717473983765
case_42,42,400360,4.117154121398926,2.638406753540039,8.91228380203247,13.76958976745605,24.76995849609375,0.053469377560195826,4.481013298034668,0.26942360401153564,3.0395710468292236,4.902854919433594,5.2952880859375,383.3473205566406,18.68475341796875,347.9400634765625,424.3719177246094,445.5950927734375,0.29990074038505554,0.030667493119835854,0.2633120119571686,0.37754499912261963,0.6343759894371033,187.97471618652344,17.40200424194336,130.46084594726562,212.98891372680663,223.78501892089844,0.3440554141998291,0.1410522609949112,0.00752961914986372,0.5577834516763687,0.7734721899032593,444.34002685546875,257.4562072753906,1.7571560144424438,844.30751953125,887.2505493164062,0.3338993787765503,0.13117240369319916,0.007529547903686762,0.5293069243431091,0.698623776435852,0.9320960640907288,0.05002238228917122,0.7154892683029175,0.9922857344150543,0.9999716281890869
case_43,43,400360,4.204806804656982,2.6505258083343506,9.005365419387815,13.601225948333738,24.57630157470703,0.053082225996603054,4.455991268157959,0.27136003971099854,3.0322248935699463,4.886398792266846,5.289196014404297,383.7666931152344,19.644357681274414,346.23516845703125,426.8658752441406,446.4568786621094,0.2953096032142639,0.028425374999642372,0.2620919942855835,0.3641569912433624,0.6271389722824097,187.95919799804688,17.400684356689453,130.45860290527344,212.97151565551758,223.69937133789062,0.3440566062927246,0.1410614401102066,0.007529740687459707,0.5578071027994155,0.7734718918800354,444.308349609375,257.4713134765625,1.7562520503997803,844.2813232421875,887.1875,0.3339000642299652,0.13118116557598114,0.007529669441282749,0.5293269902467727,0.698623538017273,0.932094156742096,0.050024837255477905,0.7154894471168518,0.9922890067100525,0.9999716281890869
case_44,44,400360,5.309877395629883,2.896442174911499,9.196964502334595,14.862060785293576,32.25737762451172,0.054753222100109904,3.421377658843994,0.396238774061203,2.74631404876709,4.3431549072265625,5.159008026123047,390.0741271972656,18.652687072753906,346.1019287109375,431.2918395996094,445.4189758300781,0.4716525375843048,0.04629246145486832,0.2974329888820648,0.5480489730834961,0.6709060072898865,187.37368774414062,17.355548858642578,130.0803680419922,212.3400733947754,223.02024841308594,0.34412533044815063,0.1411721557378769,0.007522833999246359,0.5585702568292618,0.7734838128089905,443.4447937011719,256.918701171875,1.7826859951019287,842.5570190429687,885.5159301757812,0.3339591920375824,0.131283238530159,0.007522763218730688,0.5299742579460144,0.6986321210861206,0.9320566058158875,0.050064750015735626,0.7154811024665833,0.9922980695962906,0.9999716877937317
case_45,45,400360,5.207303047180176,3.206408977508545,10.862130212783812,15.904301156997667,36.334930419921875,0.056953741632530724,4.089926719665527,0.29834839701652527,3.0181379318237305,4.690937042236328,5.237214088439941,415.900634765625,11.671467781066895,352.5118713378906,438.6653137207031,448.9953918457031,0.3532792031764984,0.06116778403520584,0.26962199807167053,0.4961870014667511,0.657371997833252,187.8502197265625,17.37845230102539,130.26287841796875,212.813916015625,223.73666381835938,0.343955934047699,0.14099209010601044,0.0075292084366083145,0.5574911296367644,0.7734686136245728,444.19622802734375,257.2191467285156,1.766808032989502,843.8458923339844,886.857666015625,0.3338092863559723,0.13111883401870728,0.007529137656092644,0.5290588498115538,0.6986212134361267,0.9321371912956238,0.04999550059437752,0.7154917120933533,0.9922799468040466,0.9999716281890869
case_47,47,400360,5.241447925567627,2.8235204219818115,9.033231782913207,14.435490150451656,29.597883224487305,0.05252272954341093,3.431697368621826,0.4010428488254547,2.7470550537109375,4.369460105895996,5.176965236663818,385.2372741699219,19.205371856689453,344.62200927734375,425.9954833984375,447.4723815917969,0.44928330183029175,0.03182981535792351,0.29919299483299255,0.5024229884147644,0.6536499857902527,187.39892578125,17.35947608947754,130.1178436279297,212.37145080566407,223.0500946044922,0.34413912892341614,0.1411854326725006,0.007523423060774803,0.5586391508579254,0.773484468460083,443.4290771484375,256.9570007324219,1.7810790538787842,842.6042053222657,885.5068359375,0.33397147059440613,0.1312953233718872,0.007523352280259132,0.5300327122211456,0.698632538318634,0.932050347328186,0.050070010125637054,0.715480625629425,0.9922985464334488,0.9999716877937317
case_48,48,400360,6.037508010864258,3.3350958824157715,10.65202441215515,16.89704576492309,36.57381820678711,0.05526026576081527,3.426650285720825,0.40089908242225647,2.7491469383239746,4.351603031158447,5.1767730712890625,405.2812194824219,13.833043098449707,351.1097412109375,434.8112487792969,448.1915588378906,0.36043810844421387,0.06309356540441513,0.2791770100593567,0.510021984577179,0.6612039804458618,187.40560913085938,17.361745834350586,130.07814025878906,212.3770149230957,223.2047119140625,0.34410881996154785,0.1411488950252533,0.007522893603891134,0.5584681421518325,0.7734856009483337,443.4378662109375,256.8731689453125,1.7806830406188965,842.5050659179688,885.4743041992188,0.3339446485042572,0.1312614232301712,0.0075228228233754635,0.5298876911401749,0.6986333131790161,0.9320651888847351,0.050057344138622284,0.7154799103736877,0.9922980666160583,0.9999716877937317
