case_id,split,rmse_v11,p95_relative_error_v11,p99_relative_error_v11,p99_underprediction_fraction_v11,top1pct_hotspot_overlap_v11,top1_recall_in_predicted_top5_v11,top5_actual_bias_v11,rmse_v13,p95_relative_error_v13,p99_relative_error_v13,p99_underprediction_fraction_v13,top1pct_hotspot_overlap_v13,top1_recall_in_predicted_top5_v13,top5_actual_bias_v13,delta_rmse_v13_minus_v11,delta_p95_relative_error_v13_minus_v11,delta_p99_relative_error_v13_minus_v11,delta_p99_underprediction_fraction_v13_minus_v11,delta_top1pct_hotspot_overlap_v13_minus_v11,delta_top1_recall_in_predicted_top5_v13_minus_v11,delta_top5_actual_bias_v13_minus_v11,flag_p99_underprediction_above_10pct,flag_p99_relative_error_above_15pct,flag_top1_overlap_below_60pct,flag_p95_relative_error_above_15pct,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max
case_200,train,1.4190379946158143,0.0003383753502923189,0.1781953283247518,0.1781953283247518,0.5919080919080919,0.8733766233766234,-1.870260452669235,1.6035373783606954,0.08810142433017025,0.07010641699619895,0.07010641699619895,0.6268731268731269,0.9098401598401599,-1.172239660742221,0.18449938374488117,0.08776304897987793,-0.10808891132855285,-0.10808891132855285,0.034965034965035,0.036463536463536506,0.698020791927014,False,False,False,False,3.4804728031158447,0.3878067135810852,2.7758400440216064,4.374592781066895,5.167616844177246,368.853271484375,10.57806396484375,347.9652404785156,391.2104797363281,432.7962951660156,0.3642668724060058,0.0548590160906314,0.2768250107765198,0.5085939764976501,0.6339049935340881
case_190,train,1.549519758519944,0.0049904804367290265,0.17617669670780897,0.17617669670780897,0.5636863136863137,0.8558941058941059,-2.070611545602769,1.7566757675021012,0.09160215970850297,0.06915276057820431,0.06915276057820431,0.5941558441558441,0.8883616383616384,-1.3145483317468898,0.20715600898215714,0.08661167927177393,-0.10702393612960466,-0.10702393612960466,0.03046953046953038,0.032467532467532534,0.7560632138558794,False,False,True,False,3.42315673828125,0.3978052139282226,2.7454190254211426,4.344974040985107,5.167935848236084,366.1627197265625,14.30609130859375,346.3038024902344,399.8901672363281,435.0445556640625,0.3473292291164398,0.0576607324182987,0.270579993724823,0.4861420094966888,0.6489390134811401
case_158,train,1.8349608123589713,0.0050106558238140345,0.17557567313070627,0.17557567313070627,0.6081418581418582,0.8768731268731269,-2.2380758812999186,2.0300123844853823,0.0894716223799007,0.06909309840139326,0.06909309840139326,0.6441058941058941,0.9275724275724275,-1.4127105914312257,0.195051572126411,0.08446096655608666,-0.10648257472931301,-0.10648257472931301,0.03596403596403597,0.05069930069930062,0.825365289868693,False,False,False,False,3.424365282058716,0.3979684710502624,2.7656869888305664,4.352934837341309,5.172513961791992,410.723388671875,10.120108604431152,356.484375,425.5048828125,445.4739685058594,0.4178316593170166,0.0497012622654438,0.3337129950523376,0.5167170166969299,0.6623899936676025
case_184,train,1.5067336477990034,0.01681187132231764,0.1749169145885178,0.1749169145885178,0.5801698301698301,0.8738761238761239,-1.9151545407366266,1.69203294474549,0.10494373531783102,0.06734060893803935,0.06734060893803935,0.6121378621378621,0.8988511488511488,-1.188273081482395,0.1852992969464866,0.08813186399551338,-0.10757630565047845,-0.10757630565047845,0.031968031968031996,0.024975024975024906,0.7268814592542316,False,False,False,False,3.397519111633301,0.4035210311412811,2.7622320652008057,4.3331170082092285,5.163376808166504,368.1035461425781,13.316668510437012,347.1853332519531,399.6644592285156,431.8598937988281,0.3936293125152588,0.0509153492748737,0.2818169891834259,0.4979380071163177,0.6601259708404541
case_192,train,1.5035546781674982,0.0008946878773456478,0.17430800884161354,0.17430800884161354,0.5789210789210789,0.8658841158841158,-2.0316564906741936,1.7009320249650959,0.08503909787693788,0.06690659901417757,0.06690659901417757,0.6096403596403597,0.9008491508491508,-1.2891247632548726,0.19737734679759766,0.08414440999959223,-0.10740140982743597,-0.10740140982743597,0.03071928071928076,0.034965034965035,0.742531727419321,False,False,False,False,3.443337202072144,0.398783266544342,2.764172077178955,4.376368045806885,5.17847204208374,365.5298767089844,13.371981620788574,347.1734924316406,396.9407653808594,436.5933837890625,0.358118861913681,0.0515717417001724,0.2770690023899078,0.4958359897136688,0.5957520008087158
case_166,train,1.5512465459411653,0.0020729279227903693,0.17170941176490606,0.17170941176490606,0.5876623376623377,0.8658841158841158,-1.961382226747112,1.7495555012608293,0.08156115885916389,0.06592601096328041,0.06592601096328041,0.6216283716283716,0.9048451548451548,-1.236625227262661,0.19830895531966397,0.07948823093637351,-0.10578340080162565,-0.10578340080162565,0.033966033966033926,0.038961038961038974,0.7247569994844509,False,False,False,False,3.435631275177002,0.4026464819908142,2.7632570266723637,4.379203796386719,5.178531169891357,367.1941223144531,14.791897773742676,347.6478271484375,402.5552978515625,440.31982421875,0.4171966016292572,0.0498398467898368,0.33399099111557,0.5165070295333862,0.6618279814720154
case_15,train,1.2185831936083913,0.011262249022500585,0.17211177249772183,0.17211177249772183,0.6036463536463537,0.8541458541458542,-1.4525450790360521,1.3415310027120941,0.09526213275513541,0.0653683063412578,0.0653683063412578,0.6133866133866134,0.8968531468531469,-0.9576933054131124,0.12294780910370284,0.08399988373263483,-0.10674346615646403,-0.10674346615646403,0.009740259740259716,0.04270729270729268,0.49485177362293975,False,False,False,False,3.17668890953064,0.2720814049243927,2.7383580207824707,3.788631916046143,5.072033882141113,389.1473388671875,18.477283477783203,347.4422912597656,427.666748046875,447.9676818847656,0.352100133895874,0.0616110749542713,0.2700079977512359,0.4952430129051208,0.6584669947624207
case_01,train,1.9667508518643257,0.012301853301234306,0.17291674885482491,0.17291674885482491,0.6076423576423576,0.8778721278721279,-2.543290732503491,2.2248219806551597,0.09859639949367897,0.06529072833304618,0.06529072833304618,0.6421078921078921,0.9155844155844156,-1.5714668039613866,0.25807112879083394,0.08629454619244467,-0.10762602052177873,-0.10762602052177873,0.034465534465534464,0.03771228771228774,0.9718239285421044,False,False,False,False,3.399423837661743,0.4025068581104278,2.7673590183258057,4.336071968078613,5.164451122283936,398.7736511230469,15.544198989868164,350.3817749023437,431.3729248046875,448.6435546875,0.3569064140319824,0.0541711002588272,0.2690010070800781,0.4931559860706329,0.6124340295791626
case_12,train,1.8507562806383457,0.012261044080389426,0.1719809266835225,0.1719809266835225,0.6023976023976024,0.8751248751248751,-2.466028636924199,2.1273525908114688,0.09892055221362889,0.0644049087073126,0.0644049087073126,0.6358641358641358,0.9080919080919081,-1.5124904585656958,0.27659631017312303,0.08665950813323946,-0.1075760179762099,-0.1075760179762099,0.03346653346653339,0.03296703296703296,0.9535381783585031,False,False,False,False,3.4136345386505127,0.3964231610298157,2.772156953811645,4.322353839874268,5.169034957885742,383.26806640625,19.72159576416016,345.8624572753906,426.6660461425781,446.35638427734375,0.3571361303329468,0.0514870733022689,0.2777369916439056,0.4942870140075683,0.5934960246086121
case_157,train,1.3925300975283776,0.024025233837647625,0.1698788624196043,0.1698788624196043,0.6066433566433567,0.8853646353646354,-1.7741832535279618,1.5582231202102579,0.11020651437623355,0.0643349220755457,0.0643349220755457,0.6388611388611388,0.9225774225774226,-1.0840627400296663,0.16569302268188024,0.08618128053858592,-0.10554394034405859,-0.10554394034405859,0.032217782217782154,0.0372127872127872,0.6901205134982955,False,False,False,False,3.424818277359009,0.3978156745433807,2.7654099464416504,4.35217809677124,5.172436237335205,373.52349853515625,10.145079612731934,357.895263671875,394.5790100097656,435.3681640625,0.3509520292282104,0.0554457791149616,0.2621800005435943,0.4775919914245605,0.6416199803352356
