split,model,criterion,rank,case_id,value,rmse,actual_p99,predicted_p99,actual_max,predicted_max,prediction_abs_max_ratio,top1pct_hotspot_overlap
internal_test,v11_selected_gain_0.95,top1pct_hotspot_overlap,2,case_192,0.4647852147852148,1.7518226104025851,12.946696014404287,10.473033654942265,29.42413902282715,21.79446491772846,0.7407001748061477,0.4647852147852148
internal_test,v11_selected_gain_0.95,top1pct_hotspot_overlap,3,case_189,0.4672827172827173,1.7488744999154446,12.753865308761585,10.135550961932617,29.364471435546875,21.19558112625743,0.7218104086354957,0.4672827172827173
internal_test,v11_selected_gain_0.95,top1pct_hotspot_overlap,4,case_191,0.48026973026973024,1.7696984879527586,13.111052494049055,10.444967005108351,29.264482498168945,21.702252959198276,0.7415901839561375,0.48026973026973024
internal_test,v11_selected_gain_0.95,top1pct_hotspot_overlap,5,case_133,0.4805194805194805,1.7115146860223844,12.81892926216123,10.418049154684484,28.935829162597656,21.589133738053576,0.7461038568046154,0.4805194805194805
validation,v10_signed_staged_symbolic,rmse,1,case_36,3.168828058424384,3.168828058424384,19.2957092285156,18.551753452987764,31.747325897216797,32.68561101033688,1.0295547762402986,0.6131368631368631
validation,v10_signed_staged_symbolic,rmse,2,case_74,2.2979430878679006,2.2979430878679006,13.751770725250228,13.5469800057784,29.059873580932617,27.27915767750977,0.9387225172035418,0.43006993006993005
validation,v10_signed_staged_symbolic,rmse,3,case_63,2.234565033268867,2.234565033268867,13.304288787841797,12.262508407180912,25.949066162109375,24.476191555539515,0.9432397837606757,0.5177322677322678
validation,v10_signed_staged_symbolic,rmse,4,case_24,2.1654582430994305,2.1654582430994305,14.59939882278439,12.61937654611943,27.87183380126953,24.746764769166035,0.8878771646535453,0.44805194805194803
validation,v10_signed_staged_symbolic,rmse,5,case_117,2.086693642467621,2.086693642467621,13.745235443115213,12.550048446863077,30.055034637451172,25.25222600134842,0.840199530826092,0.44155844155844154
validation,v10_signed_staged_symbolic,p99_underprediction_fraction,1,case_156,0.18595621955186092,1.797553323474097,13.289695453643796,10.818393928088643,28.11277961730957,21.910499871924323,0.7793786374092163,0.4060939060939061
