case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,deployable_residual_rmse,negative_residual_fraction
case_99,p95_to_p99,1000,0.2,0.2,5.001983404159547,5.963100194931029,9.452709732055656,0.826136274304307,0.3586
case_99,top_p99,250,0.05,0.049999999999999996,5.001983404159547,5.963100194931029,9.452709732055656,0.826136274304307,0.3586
case_100,below_p90,3000,0.6,0.6,8.291062831878662,10.016252183914181,16.072310028076142,0.8408295635977947,0.387
case_100,p90_to_p95,750,0.15,0.15,8.291062831878662,10.016252183914181,16.072310028076142,0.8408295635977947,0.387
case_100,p95_to_p99,1000,0.2,0.2,8.291062831878662,10.016252183914181,16.072310028076142,0.8408295635977947,0.387
case_100,top_p99,250,0.05,0.049999999999999996,8.291062831878662,10.016252183914181,16.072310028076142,0.8408295635977947,0.387
case_104,below_p90,3000,0.6,0.6,8.131133270263673,9.49413046836853,15.03142244338985,0.8427691429924379,0.3954
case_104,p90_to_p95,750,0.15,0.15,8.131133270263673,9.49413046836853,15.03142244338985,0.8427691429924379,0.3954
case_104,p95_to_p99,1000,0.2,0.2,8.131133270263673,9.49413046836853,15.03142244338985,0.8427691429924379,0.3954
case_104,top_p99,250,0.05,0.049999999999999996,8.131133270263673,9.49413046836853,15.03142244338985,0.8427691429924379,0.3954
case_105,below_p90,3000,0.6,0.6,6.042276000976564,6.899764347076416,10.9968593406677,0.8229368536305637,0.4452
case_105,p90_to_p95,750,0.15,0.15,6.042276000976564,6.899764347076416,10.9968593406677,0.8229368536305637,0.4452
case_105,p95_to_p99,1000,0.2,0.2,6.042276000976564,6.899764347076416,10.9968593406677,0.8229368536305637,0.4452
case_105,top_p99,250,0.05,0.049999999999999996,6.042276000976564,6.899764347076416,10.9968593406677,0.8229368536305637,0.4452
case_106,below_p90,3000,0.6,0.6,4.336377429962159,5.13510546684265,7.404705095291117,0.772852449969862,0.4268
case_106,p90_to_p95,750,0.15,0.15,4.336377429962159,5.13510546684265,7.404705095291117,0.772852449969862,0.4268
case_106,p95_to_p99,1000,0.2,0.2,4.336377429962159,5.13510546684265,7.404705095291117,0.772852449969862,0.4268
case_106,top_p99,250,0.05,0.049999999999999996,4.336377429962159,5.13510546684265,7.404705095291117,0.772852449969862,0.4268
case_107,below_p90,3000,0.6,0.6,8.390282630920412,9.823783111572263,15.309831600189176,0.8736047106590035,0.404
case_107,p90_to_p95,750,0.15,0.15,8.390282630920412,9.823783111572263,15.309831600189176,0.8736047106590035,0.404
case_107,p95_to_p99,1000,0.2,0.2,8.390282630920412,9.823783111572263,15.309831600189176,0.8736047106590035,0.404
case_107,top_p99,250,0.05,0.049999999999999996,8.390282630920412,9.823783111572263,15.309831600189176,0.8736047106590035,0.404
case_109,below_p90,3000,0.6,0.6,7.783132171630859,9.180979347229002,14.838084297180142,0.7931619328756724,0.3914
case_109,p90_to_p95,750,0.15,0.15,7.783132171630859,9.180979347229002,14.838084297180142,0.7931619328756724,0.3914
case_109,p95_to_p99,1000,0.2,0.2,7.783132171630859,9.180979347229002,14.838084297180142,0.7931619328756724,0.3914
case_109,top_p99,250,0.05,0.049999999999999996,7.783132171630859,9.180979347229002,14.838084297180142,0.7931619328756724,0.3914
case_110,below_p90,3000,0.6,0.6,5.942445325851442,6.862423944473265,10.958230762481676,0.810598067435806,0.4584
case_110,p90_to_p95,750,0.15,0.15,5.942445325851442,6.862423944473265,10.958230762481676,0.810598067435806,0.4584
case_110,p95_to_p99,1000,0.2,0.2,5.942445325851442,6.862423944473265,10.958230762481676,0.810598067435806,0.4584
case_110,top_p99,250,0.05,0.049999999999999996,5.942445325851442,6.862423944473265,10.958230762481676,0.810598067435806,0.4584
case_111,below_p90,3000,0.6,0.6,3.526404452323914,5.327201390266418,13.019953222274761,0.9836182562589432,0.3746
case_111,p90_to_p95,750,0.15,0.15,3.526404452323914,5.327201390266418,13.019953222274761,0.9836182562589432,0.3746
case_111,p95_to_p99,1000,0.2,0.2,3.526404452323914,5.327201390266418,13.019953222274761,0.9836182562589432,0.3746
case_111,top_p99,250,0.05,0.049999999999999996,3.526404452323914,5.327201390266418,13.019953222274761,0.9836182562589432,0.3746
case_114,below_p90,3000,0.6,0.6,5.740637493133547,6.512721204757687,10.346745529174791,0.8218577532353901,0.4416
case_114,p90_to_p95,750,0.15,0.15,5.740637493133547,6.512721204757687,10.346745529174791,0.8218577532353901,0.4416
case_114,p95_to_p99,1000,0.2,0.2,5.740637493133547,6.512721204757687,10.346745529174791,0.8218577532353901,0.4416
case_114,top_p99,250,0.05,0.049999999999999996,5.740637493133547,6.512721204757687,10.346745529174791,0.8218577532353901,0.4416
case_115,below_p90,3000,0.6,0.6,8.64419755935669,10.394952774047848,16.448994159698447,0.7850281946258346,0.3888
case_115,p90_to_p95,750,0.15,0.15,8.64419755935669,10.394952774047848,16.448994159698447,0.7850281946258346,0.3888
case_115,p95_to_p99,1000,0.2,0.2,8.64419755935669,10.394952774047848,16.448994159698447,0.7850281946258346,0.3888
case_115,top_p99,250,0.05,0.049999999999999996,8.64419755935669,10.394952774047848,16.448994159698447,0.7850281946258346,0.3888
case_116,below_p90,3000,0.6,0.6,8.049812889099123,9.626658058166502,15.341071567535392,0.8588374091064137,0.3966
case_116,p90_to_p95,750,0.15,0.15,8.049812889099123,9.626658058166502,15.341071567535392,0.8588374091064137,0.3966
case_116,p95_to_p99,1000,0.2,0.2,8.049812889099123,9.626658058166502,15.341071567535392,0.8588374091064137,0.3966
case_116,top_p99,250,0.05,0.049999999999999996,8.049812889099123,9.626658058166502,15.341071567535392,0.8588374091064137,0.3966
case_118,below_p90,3000,0.6,0.6,7.4225030422210745,9.728425073623656,15.380120143890334,0.6736766837082299,0.3518
case_118,p90_to_p95,750,0.15,0.15,7.4225030422210745,9.728425073623656,15.380120143890334,0.6736766837082299,0.3518
case_118,p95_to_p99,1000,0.2,0.2,7.4225030422210745,9.728425073623656,15.380120143890334,0.6736766837082299,0.3518
case_118,top_p99,250,0.05,0.049999999999999996,7.4225030422210745,9.728425073623656,15.380120143890334,0.6736766837082299,0.3518
case_119,below_p90,3000,0.6,0.6,6.877431440353393,8.03566355705261,12.864710826873766,0.8187224697970269,0.4652
case_119,p90_to_p95,750,0.15,0.15,6.877431440353393,8.03566355705261,12.864710826873766,0.8187224697970269,0.4652
case_119,p95_to_p99,1000,0.2,0.2,6.877431440353393,8.03566355705261,12.864710826873766,0.8187224697970269,0.4652
case_119,top_p99,250,0.05,0.049999999999999996,6.877431440353393,8.03566355705261,12.864710826873766,0.8187224697970269,0.4652
case_121,below_p90,3000,0.6,0.6,6.769794368743898,7.992828512191771,12.891168012618962,0.8548611616127384,0.4004
case_121,p90_to_p95,750,0.15,0.15,6.769794368743898,7.992828512191771,12.891168012618962,0.8548611616127384,0.4004
case_121,p95_to_p99,1000,0.2,0.2,6.769794368743898,7.992828512191771,12.891168012618962,0.8548611616127384,0.4004
case_121,top_p99,250,0.05,0.049999999999999996,6.769794368743898,7.992828512191771,12.891168012618962,0.8548611616127384,0.4004
case_122,below_p90,3000,0.6,0.6,4.8859138011932375,5.731524729728698,9.12270348548888,0.7832410283137146,0.446
case_122,p90_to_p95,750,0.15,0.15,4.8859138011932375,5.731524729728698,9.12270348548888,0.7832410283137146,0.446
case_122,p95_to_p99,1000,0.2,0.2,4.8859138011932375,5.731524729728698,9.12270348548888,0.7832410283137146,0.446
case_122,top_p99,250,0.05,0.049999999999999996,4.8859138011932375,5.731524729728698,9.12270348548888,0.7832410283137146,0.446
case_124,below_p90,3000,0.6,0.6,7.055772066116334,8.326841783523559,13.333128252029367,0.846886827748858,0.376
case_124,p90_to_p95,750,0.15,0.15,7.055772066116334,8.326841783523559,13.333128252029367,0.846886827748858,0.376
case_124,p95_to_p99,1000,0.2,0.2,7.055772066116334,8.326841783523559,13.333128252029367,0.846886827748858,0.376
case_124,top_p99,250,0.05,0.049999999999999996,7.055772066116334,8.326841783523559,13.333128252029367,0.846886827748858,0.376
case_125,below_p90,3000,0.6,0.6,6.6000275135040285,7.719360971450801,12.352934799194323,0.8145958534002666,0.4532
case_125,p90_to_p95,750,0.15,0.15,6.6000275135040285,7.719360971450801,12.352934799194323,0.8145958534002666,0.4532
case_125,p95_to_p99,1000,0.2,0.2,6.6000275135040285,7.719360971450801,12.352934799194323,0.8145958534002666,0.4532
case_125,top_p99,250,0.05,0.049999999999999996,6.6000275135040285,7.719360971450801,12.352934799194323,0.8145958534002666,0.4532
case_127,below_p90,3000,0.6,0.6,6.558638811111451,7.859949254989618,12.608463897705061,0.8598935729830244,0.4138
case_127,p90_to_p95,750,0.15,0.15,6.558638811111451,7.859949254989618,12.608463897705061,0.8598935729830244,0.4138
case_127,p95_to_p99,1000,0.2,0.2,6.558638811111451,7.859949254989618,12.608463897705061,0.8598935729830244,0.4138
case_127,top_p99,250,0.05,0.049999999999999996,6.558638811111451,7.859949254989618,12.608463897705061,0.8598935729830244,0.4138
case_128,below_p90,3000,0.6,0.6,4.805820369720459,5.586181855201721,8.927573862075796,0.7917771862213844,0.4118
case_128,p90_to_p95,750,0.15,0.15,4.805820369720459,5.586181855201721,8.927573862075796,0.7917771862213844,0.4118
case_128,p95_to_p99,1000,0.2,0.2,4.805820369720459,5.586181855201721,8.927573862075796,0.7917771862213844,0.4118
case_128,top_p99,250,0.05,0.049999999999999996,4.805820369720459,5.586181855201721,8.927573862075796,0.7917771862213844,0.4118
case_129,below_p90,3000,0.6,0.6,6.958357095718385,8.360485506057739,12.449416322708034,0.7113424979576515,0.3842
case_129,p90_to_p95,750,0.15,0.15,6.958357095718385,8.360485506057739,12.449416322708034,0.7113424979576515,0.3842
case_129,p95_to_p99,1000,0.2,0.2,6.958357095718385,8.360485506057739,12.449416322708034,0.7113424979576515,0.3842
case_129,top_p99,250,0.05,0.049999999999999996,6.958357095718385,8.360485506057739,12.449416322708034,0.7113424979576515,0.3842
case_130,below_p90,3000,0.6,0.6,6.539754009246829,7.741332387924194,12.371518497466973,0.8579673899612321,0.3896
case_130,p90_to_p95,750,0.15,0.15,6.539754009246829,7.741332387924194,12.371518497466973,0.8579673899612321,0.3896
case_130,p95_to_p99,1000,0.2,0.2,6.539754009246829,7.741332387924194,12.371518497466973,0.8579673899612321,0.3896
case_130,top_p99,250,0.05,0.049999999999999996,6.539754009246829,7.741332387924194,12.371518497466973,0.8579673899612321,0.3896
case_133,below_p90,3000,0.6,0.6,6.750997686386109,8.05308094024658,12.81892926216123,0.8513965165618722,0.4106
case_133,p90_to_p95,750,0.15,0.15,6.750997686386109,8.05308094024658,12.81892926216123,0.8513965165618722,0.4106
case_133,p95_to_p99,1000,0.2,0.2,6.750997686386109,8.05308094024658,12.81892926216123,0.8513965165618722,0.4106
case_133,top_p99,250,0.05,0.049999999999999996,6.750997686386109,8.05308094024658,12.81892926216123,0.8513965165618722,0.4106
case_136,below_p90,3000,0.6,0.6,5.139823007583619,5.935817217826843,9.499952650070178,0.7771288298076005,0.424
case_136,p90_to_p95,750,0.15,0.15,5.139823007583619,5.935817217826843,9.499952650070178,0.7771288298076005,0.424
case_136,p95_to_p99,1000,0.2,0.2,5.139823007583619,5.935817217826843,9.499952650070178,0.7771288298076005,0.424
case_136,top_p99,250,0.05,0.049999999999999996,5.139823007583619,5.935817217826843,9.499952650070178,0.7771288298076005,0.424
case_137,below_p90,3000,0.6,0.6,4.637449979782106,5.4260913848876955,8.722746763229296,0.7897878649427157,0.4262
case_137,p90_to_p95,750,0.15,0.15,4.637449979782106,5.4260913848876955,8.722746763229296,0.7897878649427157,0.4262
case_137,p95_to_p99,1000,0.2,0.2,4.637449979782106,5.4260913848876955,8.722746763229296,0.7897878649427157,0.4262
case_137,top_p99,250,0.05,0.049999999999999996,4.637449979782106,5.4260913848876955,8.722746763229296,0.7897878649427157,0.4262
case_139,below_p90,3000,0.6,0.6,7.001120185852052,8.312557744979857,13.217778148651119,0.8615317489295246,0.3658
case_139,p90_to_p95,750,0.15,0.15,7.001120185852052,8.312557744979857,13.217778148651119,0.8615317489295246,0.3658
case_139,p95_to_p99,1000,0.2,0.2,7.001120185852052,8.312557744979857,13.217778148651119,0.8615317489295246,0.3658
case_139,top_p99,250,0.05,0.049999999999999996,7.001120185852052,8.312557744979857,13.217778148651119,0.8615317489295246,0.3658
case_141,below_p90,3000,0.6,0.6,6.175196123123171,7.26107919216156,11.077090291976921,0.7914332836741756,0.4298
case_141,p90_to_p95,750,0.15,0.15,6.175196123123171,7.26107919216156,11.077090291976921,0.7914332836741756,0.4298
case_141,p95_to_p99,1000,0.2,0.2,6.175196123123171,7.26107919216156,11.077090291976921,0.7914332836741756,0.4298
case_141,top_p99,250,0.05,0.049999999999999996,6.175196123123171,7.26107919216156,11.077090291976921,0.7914332836741756,0.4298
case_142,below_p90,3000,0.6,0.6,6.654256010055542,7.779161429405209,12.231397266387924,0.8200876031277545,0.4204
case_142,p90_to_p95,750,0.15,0.15,6.654256010055542,7.779161429405209,12.231397266387924,0.8200876031277545,0.4204
case_142,p95_to_p99,1000,0.2,0.2,6.654256010055542,7.779161429405209,12.231397266387924,0.8200876031277545,0.4204
case_142,top_p99,250,0.05,0.049999999999999996,6.654256010055542,7.779161429405209,12.231397266387924,0.8200876031277545,0.4204
case_143,below_p90,3000,0.6,0.6,6.828693103790284,7.921590662002563,12.536460180282564,0.8515580331447891,0.3752
case_143,p90_to_p95,750,0.15,0.15,6.828693103790284,7.921590662002563,12.536460180282564,0.8515580331447891,0.3752
case_143,p95_to_p99,1000,0.2,0.2,6.828693103790284,7.921590662002563,12.536460180282564,0.8515580331447891,0.3752
case_143,top_p99,250,0.05,0.049999999999999996,6.828693103790284,7.921590662002563,12.536460180282564,0.8515580331447891,0.3752
case_144,below_p90,3000,0.6,0.6,8.429866123199465,9.57113671302795,15.136413698196405,0.8701393515375072,0.3948
case_144,p90_to_p95,750,0.15,0.15,8.429866123199465,9.57113671302795,15.136413698196405,0.8701393515375072,0.3948
case_144,p95_to_p99,1000,0.2,0.2,8.429866123199465,9.57113671302795,15.136413698196405,0.8701393515375072,0.3948
case_144,top_p99,250,0.05,0.049999999999999996,8.429866123199465,9.57113671302795,15.136413698196405,0.8701393515375072,0.3948
case_146,below_p90,3000,0.6,0.6,6.4904943943023685,7.589036440849302,12.167704410552965,0.8361977357294811,0.4252
case_146,p90_to_p95,750,0.15,0.15,6.4904943943023685,7.589036440849302,12.167704410552965,0.8361977357294811,0.4252
case_146,p95_to_p99,1000,0.2,0.2,6.4904943943023685,7.589036440849302,12.167704410552965,0.8361977357294811,0.4252
case_146,top_p99,250,0.05,0.049999999999999996,6.4904943943023685,7.589036440849302,12.167704410552965,0.8361977357294811,0.4252
case_148,below_p90,3000,0.6,0.6,6.300917434692384,7.333276700973511,11.485404291152937,0.8365762761342475,0.3594
case_148,p90_to_p95,750,0.15,0.15,6.300917434692384,7.333276700973511,11.485404291152937,0.8365762761342475,0.3594
case_148,p95_to_p99,1000,0.2,0.2,6.300917434692384,7.333276700973511,11.485404291152937,0.8365762761342475,0.3594
case_148,top_p99,250,0.05,0.049999999999999996,6.300917434692384,7.333276700973511,11.485404291152937,0.8365762761342475,0.3594
case_150,below_p90,3000,0.6,0.6,6.113219213485718,7.405756855010986,10.835816211700429,0.7039694594680359,0.365
case_150,p90_to_p95,750,0.15,0.15,6.113219213485718,7.405756855010986,10.835816211700429,0.7039694594680359,0.365
case_150,p95_to_p99,1000,0.2,0.2,6.113219213485718,7.405756855010986,10.835816211700429,0.7039694594680359,0.365
case_150,top_p99,250,0.05,0.049999999999999996,6.113219213485718,7.405756855010986,10.835816211700429,0.7039694594680359,0.365
case_151,below_p90,3000,0.6,0.6,5.76791081428528,6.654342794418334,10.317672529220548,0.8271403035961611,0.4306
case_151,p90_to_p95,750,0.15,0.15,5.76791081428528,6.654342794418334,10.317672529220548,0.8271403035961611,0.4306
case_151,p95_to_p99,1000,0.2,0.2,5.76791081428528,6.654342794418334,10.317672529220548,0.8271403035961611,0.4306
case_151,top_p99,250,0.05,0.049999999999999996,5.76791081428528,6.654342794418334,10.317672529220548,0.8271403035961611,0.4306
case_153,below_p90,3000,0.6,0.6,6.899252128601077,8.088743019104003,12.596611623764018,0.8016358582704812,0.4068
case_153,p90_to_p95,750,0.15,0.15,6.899252128601077,8.088743019104003,12.596611623764018,0.8016358582704812,0.4068
case_153,p95_to_p99,1000,0.2,0.2,6.899252128601077,8.088743019104003,12.596611623764018,0.8016358582704812,0.4068
case_153,top_p99,250,0.05,0.049999999999999996,6.899252128601077,8.088743019104003,12.596611623764018,0.8016358582704812,0.4068
case_154,below_p90,3000,0.6,0.6,5.747634983062745,6.938599348068237,10.474741182327266,0.7480943925159909,0.38
case_154,p90_to_p95,750,0.15,0.15,5.747634983062745,6.938599348068237,10.474741182327266,0.7480943925159909,0.38
case_154,p95_to_p99,1000,0.2,0.2,5.747634983062745,6.938599348068237,10.474741182327266,0.7480943925159909,0.38
case_154,top_p99,250,0.05,0.049999999999999996,5.747634983062745,6.938599348068237,10.474741182327266,0.7480943925159909,0.38
case_155,below_p90,3000,0.6,0.6,6.5814643859863295,7.589083981513977,11.835097093582132,0.8846034255641313,0.402
case_155,p90_to_p95,750,0.15,0.15,6.5814643859863295,7.589083981513977,11.835097093582132,0.8846034255641313,0.402
case_155,p95_to_p99,1000,0.2,0.2,6.5814643859863295,7.589083981513977,11.835097093582132,0.8846034255641313,0.402
case_155,top_p99,250,0.05,0.049999999999999996,6.5814643859863295,7.589083981513977,11.835097093582132,0.8846034255641313,0.402
case_156,below_p90,3000,0.6,0.6,7.027060174942017,8.350664710998535,13.289695453643796,0.87891084836901,0.3556
case_156,p90_to_p95,750,0.15,0.15,7.027060174942017,8.350664710998535,13.289695453643796,0.87891084836901,0.3556
case_156,p95_to_p99,1000,0.2,0.2,7.027060174942017,8.350664710998535,13.289695453643796,0.87891084836901,0.3556
case_156,top_p99,250,0.05,0.049999999999999996,7.027060174942017,8.350664710998535,13.289695453643796,0.87891084836901,0.3556
case_157,below_p90,3000,0.6,0.6,6.234185695648196,7.273385071754455,11.7065015220642,0.8574882185980109,0.4092
case_157,p90_to_p95,750,0.15,0.15,6.234185695648196,7.273385071754455,11.7065015220642,0.8574882185980109,0.4092
case_157,p95_to_p99,1000,0.2,0.2,6.234185695648196,7.273385071754455,11.7065015220642,0.8574882185980109,0.4092
case_157,top_p99,250,0.05,0.049999999999999996,6.234185695648196,7.273385071754455,11.7065015220642,0.8574882185980109,0.4092
case_158,below_p90,3000,0.6,0.6,7.99565691947937,9.031450700759887,14.374462537765476,0.9179940005489691,0.3668
case_158,p90_to_p95,750,0.15,0.15,7.99565691947937,9.031450700759887,14.374462537765476,0.9179940005489691,0.3668
case_158,p95_to_p99,1000,0.2,0.2,7.99565691947937,9.031450700759887,14.374462537765476,0.9179940005489691,0.3668
case_158,top_p99,250,0.05,0.049999999999999996,7.99565691947937,9.031450700759887,14.374462537765476,0.9179940005489691,0.3668
case_163,below_p90,3000,0.6,0.6,7.7857942581176784,9.154281949996946,13.400103712081906,0.8599660641897446,0.4196
case_163,p90_to_p95,750,0.15,0.15,7.7857942581176784,9.154281949996946,13.400103712081906,0.8599660641897446,0.4196
case_163,p95_to_p99,1000,0.2,0.2,7.7857942581176784,9.154281949996946,13.400103712081906,0.8599660641897446,0.4196
case_163,top_p99,250,0.05,0.049999999999999996,7.7857942581176784,9.154281949996946,13.400103712081906,0.8599660641897446,0.4196
case_164,below_p90,3000,0.6,0.6,6.586019182205203,7.523049545288086,11.752422008514381,0.8706451629630454,0.4026
case_164,p90_to_p95,750,0.15,0.15,6.586019182205203,7.523049545288086,11.752422008514381,0.8706451629630454,0.4026
case_164,p95_to_p99,1000,0.2,0.2,6.586019182205203,7.523049545288086,11.752422008514381,0.8706451629630454,0.4026
case_164,top_p99,250,0.05,0.049999999999999996,6.586019182205203,7.523049545288086,11.752422008514381,0.8706451629630454,0.4026
case_165,below_p90,3000,0.6,0.6,6.380742454528812,8.25058135986328,13.54518896102898,0.7798167624597009,0.3266
case_165,p90_to_p95,750,0.15,0.15,6.380742454528812,8.25058135986328,13.54518896102898,0.7798167624597009,0.3266
case_165,p95_to_p99,1000,0.2,0.2,6.380742454528812,8.25058135986328,13.54518896102898,0.7798167624597009,0.3266
case_165,top_p99,250,0.05,0.049999999999999996,6.380742454528812,8.25058135986328,13.54518896102898,0.7798167624597009,0.3266
case_166,below_p90,3000,0.6,0.6,7.0247314453125,8.191421604156492,12.85470631599426,0.8752207718935093,0.3716
case_166,p90_to_p95,750,0.15,0.15,7.0247314453125,8.191421604156492,12.85470631599426,0.8752207718935093,0.3716
case_166,p95_to_p99,1000,0.2,0.2,7.0247314453125,8.191421604156492,12.85470631599426,0.8752207718935093,0.3716
case_166,top_p99,250,0.05,0.049999999999999996,7.0247314453125,8.191421604156492,12.85470631599426,0.8752207718935093,0.3716
case_169,below_p90,3000,0.6,0.6,6.967317152023317,8.090929222106933,12.841711378097514,0.8464717564565739,0.3572
case_169,p90_to_p95,750,0.15,0.15,6.967317152023317,8.090929222106933,12.841711378097514,0.8464717564565739,0.3572
