case_id,case_number,n_elements,stress_mean,stress_std,stress_min,stress_p50,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,rho_normalized_mean,rho_normalized_std,rho_normalized_min,rho_normalized_p95,rho_normalized_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max
case_32,32,400360,5.2712423646742925,3.020560110823219,-2.904277,5.2881345,10.015991249999997,15.11579711999996,33.723785,0.053784094315116396,4.004929962713559,0.30626299252102573,2.99582,4.635653,5.224661,385.78960173647715,19.027661447496378,346.129059,427.220123,447.257385,0.3441199341392748,0.05735316775985968,0.264768,0.480038,0.631123,187.6822069982312,17.376484333682328,130.22148587121055,212.66759771863823,223.47275322465308,0.6161923881337943,0.1863404629968372,0.0,0.8841285935014593,1.0,0.344044079127038,0.1410985302782194,0.007526781445321388,0.5581197313831296,0.773475218894771,443.96918200786035,257.1567128014129,1.772999,843.4951231,886.535645
case_33,33,400360,2.732955371603057,1.4477790390177316,-1.364834,2.8239765,4.628666549999999,7.325875079999977,14.542253,0.05220801278849036,3.414597872195024,0.3979396705399176,2.76291,4.318644,5.17294,357.2992746687581,10.703740559310772,344.502502,370.889587,432.289581,0.35089684731741433,0.029872062274662946,0.313256,0.408726,0.652577,187.36055683726028,17.39718014477075,130.171320260164,212.38650394414478,222.75384800602168,0.6177109004204632,0.18790997144219934,0.0,0.8880205119227721,1.0,0.3443563672371394,0.14124767914209152,0.007522067455345556,0.5590679145063701,0.7734986733321424,442.71856242053667,256.82361601801233,1.744189,841.638916,883.97113
case_34,34,400360,4.684073457578181,2.524208702146414,-2.419906,4.8057615,8.22631895,12.876111369999988,30.058525,0.05537266460185833,3.4060770251573596,0.3977669261015068,2.751372,4.297139,5.170565,389.17871334472966,18.73890765702208,348.082977,428.231049,445.7388,0.5822105084424019,0.04344136323790774,0.317793,0.633679,0.693762,187.31552831487005,17.34499060593603,130.01649728780083,212.2637620346843,223.13338124568855,0.6153452369924964,0.18627116661013196,0.0,0.8832690834465633,1.0,0.34408310014111,0.1411509096294408,0.007523648988764184,0.5583890981304395,0.7734799556843522,443.3577064328206,256.84160508381126,1.767367,842.39405215,885.419617
case_35,35,400360,3.846318012780997,2.0425384324975617,-1.822257,3.9784375,6.875816249999999,10.138929299999976,21.769367,0.05240283744629833,3.440838381256869,0.39711426445585346,2.759996,4.375042,5.15448,371.59784325998606,14.876503382064874,346.456696,408.797974,432.191589,0.6220474093515838,0.04420867634329981,0.328649,0.658518,0.703665,187.27573543639951,17.347761064238625,130.03507709432517,212.2375251646331,222.92352922025927,0.6162300806183093,0.18675907141524223,0.0,0.8849587455592591,1.0,0.3441461661484771,0.14115011218586365,0.0075233001396722565,0.5585414706043309,0.7734843272193347,443.05934310664406,256.7680064139251,1.771506,841.9433041,884.732849
case_36,36,400360,3.0640295819037853,3.4890169140645537,-2.680492,2.393197,9.813024499999997,19.295709149999976,31.747326,0.09026875811769408,4.852125654091318,0.264154648863647,3.136131,5.11726,5.353445,433.7020285303626,10.608514614601024,357.594116,446.052277,449.844604,0.40912520909181743,0.05243881058126928,0.327183,0.548155,0.640191,189.15940655608455,17.494345501568798,131.19431679888353,214.28550742442692,225.0652209146929,0.617497938292881,0.18636600623326127,0.0,0.8851644863570619,1.0,0.34395045550350234,0.14085630751704106,0.007532288280192643,0.5567762445998616,0.773464724428852,446.35881662878916,258.5591072500446,1.731533,848.0761781,890.928772
case_37,37,400360,1.809725144217705,0.9970146393145803,-1.347057,1.8391294999999999,3.3213985499999996,4.850735219999999,11.275752,0.05337196523129184,3.076756550404636,0.22719612401745576,2.746224,3.610256,5.078359,414.60981560983134,11.82834073301023,355.035767,434.848114,449.459045,0.5287749895693874,0.04275547246032931,0.306383,0.592333,0.682197,186.65377719923868,17.34507064809952,129.67350465214975,211.58404875173582,222.01891236740465,0.6170341758930376,0.18782818850703087,0.0,0.8870018133674334,1.0,0.34437857616391815,0.14131198747183182,0.007524263636391494,0.5591311864048832,0.7734984404553348,441.5593198452242,256.26073890030904,1.614113,839.5932071,881.824585
case_38,38,400360,2.321045872824458,3.429639075041129,-2.780449,1.5897445000000001,8.282201349999998,19.17760146999992,30.260347,0.1571360775302228,4.806645055829752,0.23437832540950695,3.26851,5.021554,5.30034,442.8034414681387,11.404434812030033,360.272491,448.969879,451.789185,0.40499913923468883,0.04907650924276384,0.328537,0.506366,0.660927,188.9862153370453,17.499396976036767,131.15611803524996,214.14925847802348,224.81867182015966,0.617430285262118,0.18683450609539282,0.0,0.8860866705958302,1.0,0.34405508706203797,0.1409317898926137,0.007527999803179533,0.5571870011838166,0.773473136417883,446.01242665762317,258.50120402881265,1.717689,847.6062040500001,890.188965
case_39,39,400360,3.087728669332601,2.0169442428640814,-1.875102,2.8712205,6.6460771,10.974814849999987,22.030895,0.05591967229493456,3.9490445724847643,0.31132324309748377,2.978344,4.590047,5.221761,399.27096615681893,7.977414916728158,355.856567,408.461609,442.118073,0.5030649437306424,0.044022921831356386,0.302498,0.571772,0.67509,187.42404507096242,17.359479512021196,130.05863239875436,212.38587743582104,223.22325500489677,0.6157424467302665,0.1863312384724529,0.0,0.8836749694689235,1.0,0.34408553059276104,0.14106518620945174,0.007529146596041109,0.5579030817444565,0.7734772254045754,443.2427681817764,256.83854331372345,1.751523,842.3051211,884.999573
case_40,40,400360,5.041594912493757,2.7663654733411085,-2.507858,5.2600605,8.887292349999997,14.066408739999957,32.352711,0.05476820861224897,3.4764680927964826,0.40113912553594827,2.761162,4.402724,5.189236,375.665873471116,16.153522691001896,346.069855,416.170197,432.421631,0.35583340763313015,0.0554570138047089,0.269553,0.488516,0.625308,187.37213073571428,17.37832427441146,130.1006826298083,212.38615831881722,223.05817357931207,0.6161036353381873,0.1869491538218441,0.0,0.8851946717635474,1.0,0.3442514484043869,0.14121871805806382,0.007520463671797998,0.5588793907291453,0.7734938705358885,443.23444745563233,256.879439282171,1.774027,842.28427455,885.072327
case_41,41,400360,6.320426893700667,3.4704151640347463,-3.182696,6.5542705,11.034744149999996,17.273798919999912,36.401619,0.05581976221400739,3.460669270116895,0.4019866980589237,2.748927,4.406187,5.184,433.3456080570686,10.649464543901557,358.295868,445.913818,450.39502,0.3585264045159356,0.057728752498725874,0.265121,0.488273,0.651889,187.4788361202272,17.35798233824543,130.08430401597644,212.4372409007575,223.27819828464303,0.6158615063213193,0.18625664776068374,0.0,0.8836730939407641,1.0,0.34404317067577983,0.1410820708413445,0.007525526050480756,0.5581703119042473,0.773479699919742,443.4996529867368,256.88913991687554,1.773407,842.60541105,885.444153
