case_id,case_number,feature,abs_spearman,spearman,abs_spearman_rank_score,abs_standardized_difference,standardized_difference,high_stress_rank_score,combined_case_sensitivity_score
case_67,67,theta_sin,0.0531565753947516,0.0531565753947516,0.16666666666666666,0.1905376464772677,0.1905376464772677,0.08333333333333333,0.125
case_67,67,weight_loss_rate,0.09861541494387621,-0.09861541494387621,0.8333333333333334,0.43748015985871536,0.43748015985871536,0.5,0.6666666666666667
case_67,67,z,0.19859432024968235,0.19859432024968235,0.9166666666666666,0.2851227904335898,0.2851227904335898,0.25,0.5833333333333333
case_68,68,distance_to_inner_proxy,0.29307965740377273,0.29307965740377273,0.625,0.5400531887961203,0.5400531887961203,0.8333333333333334,0.7291666666666667
case_68,68,distance_to_outer_proxy,0.29307965740377273,-0.29307965740377273,0.625,0.5400531887961195,-0.5400531887961195,0.75,0.6875
case_68,68,fluence_rate,0.37078075514155445,-0.37078075514155445,0.9166666666666666,0.9870715959596695,-0.9870715959596695,1.0,0.9583333333333333
case_68,68,param_field_magnitude_scaled,0.12947011907109712,-0.12947011907109712,0.4166666666666667,0.8739493798435443,0.8739493798435443,0.9166666666666666,0.6666666666666666
case_68,68,rho,0.29307965740377273,0.29307965740377273,0.625,0.5400531887961165,0.5400531887961165,0.5833333333333334,0.6041666666666667
case_68,68,rho_normalized,0.29307965740377273,0.29307965740377273,0.625,0.5400531887961194,0.5400531887961194,0.6666666666666666,0.6458333333333333
case_68,68,temperature,0.3153441475735254,-0.3153441475735254,0.8333333333333334,0.5155297788444111,-0.5155297788444111,0.5,0.6666666666666667
case_68,68,theta,0.04598871009211128,0.04598871009211128,0.25,0.0839556707529491,-0.0839556707529491,0.16666666666666666,0.20833333333333331
case_68,68,theta_cos,0.04598871009211128,-0.04598871009211128,0.25,0.06416401394404087,-0.06416401394404087,0.08333333333333333,0.16666666666666666
case_68,68,theta_sin,0.04598871009211128,0.04598871009211128,0.25,0.10858563304788435,-0.10858563304788435,0.25,0.25
case_68,68,weight_loss_rate,0.4343356624111896,-0.4343356624111896,1.0,0.25964742770400534,-0.25964742770400534,0.4166666666666667,0.7083333333333334
case_68,68,z,0.007013567906763029,-0.007013567906763029,0.08333333333333333,0.17823925872150245,0.17823925872150245,0.3333333333333333,0.20833333333333331
case_69,69,distance_to_inner_proxy,0.014902233919472334,-0.014902233919472334,0.2916666666666667,0.8280601984194115,-0.8280601984194115,0.9166666666666666,0.6041666666666666
case_69,69,distance_to_outer_proxy,0.014902233919472334,0.014902233919472334,0.2916666666666667,0.8280601984194109,0.8280601984194109,0.8333333333333334,0.5625
case_69,69,fluence_rate,0.17068021266525027,0.17068021266525027,0.8333333333333334,0.5963431825080732,0.5963431825080732,0.5833333333333334,0.7083333333333334
case_69,69,param_field_magnitude_scaled,0.48896460585262086,-0.48896460585262086,1.0,0.29090378991075844,-0.29090378991075844,0.25,0.625
case_69,69,rho,0.014902233919472334,-0.014902233919472334,0.2916666666666667,0.8280601984194087,-0.8280601984194087,0.75,0.5208333333333334
case_69,69,rho_normalized,0.014902233919472334,-0.014902233919472334,0.2916666666666667,0.8280601984194123,-0.8280601984194123,1.0,0.6458333333333334
case_69,69,temperature,0.01613913614384479,0.01613913614384479,0.5,0.7429462131504598,0.7429462131504598,0.6666666666666666,0.5833333333333333
case_69,69,theta,0.046572050609279866,0.046572050609279866,0.6666666666666666,0.22960939345054038,0.22960939345054038,0.16666666666666666,0.41666666666666663
case_69,69,theta_cos,0.046572050609279866,-0.046572050609279866,0.6666666666666666,0.3661840018577209,-0.3661840018577209,0.4166666666666667,0.5416666666666666
case_69,69,theta_sin,0.046572050609279866,0.046572050609279866,0.6666666666666666,0.20647601443250024,0.20647601443250024,0.08333333333333333,0.375
case_69,69,weight_loss_rate,0.01341861405692521,0.01341861405692521,0.08333333333333333,0.4907872161624813,0.4907872161624813,0.5,0.2916666666666667
case_69,69,z,0.23615545046699066,0.23615545046699066,0.9166666666666666,0.30518624851186343,0.30518624851186343,0.3333333333333333,0.625
case_70,70,distance_to_inner_proxy,0.010459926809504593,-0.010459926809504593,0.2916666666666667,0.8971145179807093,-0.8971145179807093,0.8333333333333334,0.5625
case_70,70,distance_to_outer_proxy,0.010459926809504593,0.010459926809504593,0.2916666666666667,0.8971145179807096,0.8971145179807096,1.0,0.6458333333333334
case_70,70,fluence_rate,0.19829825002916465,0.19829825002916465,0.8333333333333334,0.6608838257169294,0.6608838257169294,0.6666666666666666,0.75
