case_id,case_number,feature,target,high_stress_quantile,threshold,high_n,rest_n,high_mean,rest_mean,difference_high_minus_rest,standardized_difference,abs_standardized_difference,high_median,rest_median
case_28,28,theta_cos,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.9083580530606108,0.9332916724298769,-0.02493361936926608,-0.38762534513901004,0.38762534513901004,0.9062459612258951,0.9431542142987179
case_28,28,param_field_magnitude_scaled,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.9564689672521924,1.2221713558909526,-0.26570238863876017,-0.27657285690792927,0.27657285690792927,0.8499777108313135,0.8118489621788669
case_28,28,z,sigma_max_principal,0.95,9.724851749999997,20018,380342,518.4481228150165,439.5872315406056,78.8608912744109,0.2746514810258434,0.2746514810258434,563.962708,436.4994965
case_28,28,theta,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.3849076242550699,0.3420049460720939,0.042902678182975995,0.2498504642638173,0.2498504642638173,0.4364785823898134,0.33879987020163826
case_28,28,theta_sin,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.36793999054167625,0.33219377101098846,0.035746219530687795,0.2264264852592008,0.2264264852592008,0.42275082230760175,0.3323554242831215
case_28,28,weight_loss_rate,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.39977308777100606,0.4004108130708678,-0.0006377252998617244,-0.01646486749645258,0.01646486749645258,0.399958,0.39351400000000003
case_29,29,temperature,sigma_max_principal,0.95,3.5024187999999996,20018,380342,404.3916501952243,391.9746779363205,12.416972258903797,0.9022132212751357,0.9022132212751357,403.819275,390.99408
case_29,29,rho_normalized,sigma_max_principal,0.95,3.5024187999999996,20018,380342,0.517236836559667,0.6232419571394832,-0.10600512057981615,-0.7306801029555505,0.7306801029555505,0.5400119575732569,0.6366260658453161
case_29,29,distance_to_outer_proxy,sigma_max_principal,0.95,3.5024187999999996,20018,380342,44.65486166368001,34.84954851302481,9.805313150655202,0.7306801029555497,0.7306801029555497,42.548197453867886,33.61153872269311
case_29,29,rho,sigma_max_principal,0.95,3.5024187999999996,20018,380342,177.62979827520667,187.43511142586186,-9.805313150655195,-0.7306801029555493,0.7306801029555493,179.7364624850188,188.67312121619358
case_29,29,distance_to_inner_proxy,sigma_max_principal,0.95,3.5024187999999996,20018,380342,47.84362423042678,57.64893738108197,-9.805313150655195,-0.7306801029555492,0.7306801029555492,49.95028844023889,58.88694717141367
case_29,29,fluence_rate,sigma_max_principal,0.95,3.5024187999999996,20018,380342,3.2358468926965727,3.1177860239205777,0.11806086877599498,0.6119025825223925,0.6119025825223925,3.205203,3.064107
case_29,29,z,sigma_max_principal,0.95,3.5024187999999996,20018,380342,574.4703809882604,435.03178014156464,139.4386008466958,0.4951222058781342,0.4951222058781342,771.9953,435.052673
case_29,29,weight_loss_rate,sigma_max_principal,0.95,3.5024187999999996,20018,380342,0.3234921836846838,0.3141523515020692,0.009339832182614582,0.39307460494951624,0.39307460494951624,0.319856,0.306202
case_29,29,theta_cos,sigma_max_principal,0.95,3.5024187999999996,20018,380342,0.913081707334733,0.9329088808836508,-0.01982717354891772,-0.31286662727916387,0.31286662727916387,0.9102950117073991,0.9429331450852687
case_29,29,param_field_magnitude_scaled,sigma_max_principal,0.95,3.5024187999999996,20018,380342,1.1167104044050844,1.3500308093992186,-0.2333204049941342,-0.24872896722904603,0.24872896722904603,0.9535069930903439,1.0477355188171156
case_29,29,theta,sigma_max_principal,0.95,3.5024187999999996,20018,380342,0.37258684338044007,0.3429797975483289,0.029607045832111156,0.17298904015669764,0.17298904015669764,0.4268001651284533,0.3394644026977566
case_29,29,theta_sin,sigma_max_principal,0.95,3.5024187999999996,20018,380342,0.3567505724538991,0.3330786831778592,0.02367188927603986,0.15013475035334964,0.15013475035334964,0.4139601329327305,0.3329821074766179
case_31,31,fluence_rate,sigma_max_principal,0.95,6.1077444,20018,380342,3.8897220203816563,4.247636554500951,-0.35791453411929464,-1.254405218090218,1.254405218090218,3.811249,4.235293
case_31,31,param_field_magnitude_scaled,sigma_max_principal,0.95,6.1077444,20018,380342,2.8837401389442734,1.0741066365987124,1.809633502345561,1.2106654528970568,1.2106654528970568,2.8861922769696866,0.6415373703603743
case_31,31,rho,sigma_max_principal,0.95,6.1077444,20018,380342,202.6040412057906,186.87902685291854,15.725014352872051,0.8408995187431575,0.8408995187431575,214.2653561304734,188.31631737680607
case_31,31,distance_to_outer_proxy,sigma_max_principal,0.95,6.1077444,20018,380342,20.54854641968116,36.2735607725532,-15.725014352872044,-0.8408995187431572,0.8408995187431572,8.887231494998332,34.836270248665656
case_31,31,distance_to_inner_proxy,sigma_max_principal,0.95,6.1077444,20018,380342,72.257611352188,56.53259699931596,15.72501435287203,0.8408995187431564,0.8408995187431564,83.91892627687082,57.9698875232035
case_31,31,rho_normalized,sigma_max_principal,0.95,6.1077444,20018,380342,0.7785863900303637,0.6091470475297684,0.16943934250059522,0.8408995187431555,0.8408995187431555,0.9042387734998747,0.6246340643225614
case_31,31,weight_loss_rate,sigma_max_principal,0.95,6.1077444,20018,380342,0.33752874343091216,0.3604225237654532,-0.022893780334541036,-0.4524828475822287,0.4524828475822287,0.33055049999999997,0.347634
case_31,31,theta_sin,sigma_max_principal,0.95,6.1077444,20018,380342,0.31093045776118006,0.33525731632639305,-0.024326858565212994,-0.1622307218984289,0.1622307218984289,0.2816473839941573,0.3388019851136099
case_31,31,temperature,sigma_max_principal,0.95,6.1077444,20018,380342,444.54539531716455,446.83244325150787,-2.2870479343433203,-0.1431870826633186,0.1431870826633186,450.10672,450.576172
case_31,31,theta,sigma_max_principal,0.95,6.1077444,20018,380342,0.3225389305588777,0.34535109259689567,-0.022812162038017947,-0.13992278987868934,0.13992278987868934,0.2855105648614711,0.3456432830449494
case_31,31,z,sigma_max_principal,0.95,6.1077444,20018,380342,474.43912885642925,442.05948715798934,32.37964169843991,0.12797496696010308,0.12797496696010308,495.57104449999997,440.810883
case_31,31,theta_cos,sigma_max_principal,0.95,6.1077444,20018,380342,0.9326722087349452,0.9320015410716097,0.0006706676633354558,0.010988028621420367,0.010988028621420367,0.9595179779465104,0.9408577017185072
case_32,32,weight_loss_rate,sigma_max_principal,0.95,10.015991249999997,20018,380342,0.33284564626835844,0.3447133177114281,-0.01186767144306966,-0.25291191662332935,0.25291191662332935,0.325414,0.333357
case_32,32,z,sigma_max_principal,0.95,10.015991249999997,20018,380342,507.8322646748925,440.60796713064826,67.22429754424422,0.24113374587403674,0.24113374587403674,535.0530705,436.89282249999997
