case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,high_stress_threshold,high_stress_fraction,stress_p95,stress_max
case_158,158,z,0,33364,1.763211,73.761734,35.77391478686609,9.03145045,0.08991727610598249,10.549450449999998,25.668053
case_158,158,z,1,33363,73.76181,146.422409,109.52559757806551,9.03145045,0.018463567424991757,6.784666599999994,17.664318
case_158,158,z,2,33363,146.422409,220.601715,183.60019160276352,9.03145045,0.019182927194796633,6.747359299999998,16.699591
case_158,158,z,3,33363,220.601715,293.285889,257.6869296491023,9.03145045,0.022060366274016127,7.164094799999993,17.599558
case_158,158,z,4,33364,293.285889,367.517242,331.83013251876275,9.03145045,0.027544658913799303,7.627476599999999,19.201046
case_158,158,z,5,33363,367.517303,440.293182,405.94664517447467,9.03145045,0.037136948116176606,8.2826101,20.470173
case_158,158,z,6,33363,445.871399,518.668396,480.2163684018523,9.03145045,0.03833588106585139,8.652342899999999,21.198343
case_158,158,z,7,33363,518.668457,592.971741,554.3810408863413,9.03145045,0.04310163954080868,8.814590499999998,21.695988
case_158,158,z,8,33364,592.971741,665.754333,628.6135214149683,9.03145045,0.03171082604004316,8.41653515,20.507521
case_158,158,z,9,33363,665.754333,740.033508,702.8074154050296,9.03145045,0.026316578245361627,7.609512399999987,19.486561
case_158,158,z,10,33363,740.033508,812.772034,776.9699770377963,9.03145045,0.03437940233192459,8.172448799999993,22.126003
case_158,158,z,11,33364,812.772278,885.058472,850.7607549592076,9.03145045,0.21184510250569477,13.386265099999997,33.084419
case_159,159,rho_normalized,0,33364,0.0,0.36211869566094185,0.1714578225513963,7.7352063,0.020740918355113297,6.2534769500000005,16.467041
case_159,159,rho_normalized,1,33363,0.3621198823816413,0.4822471774521532,0.44202836307627086,7.7352063,0.2880136678356263,14.5165455,27.97098
case_159,159,rho_normalized,2,33363,0.48224724706671773,0.536845400631006,0.5116672376149657,7.7352063,0.060456193987351255,8.112151099999998,26.66799
case_159,159,rho_normalized,3,33363,0.5368459872222678,0.5723149857152712,0.5554324596153818,7.7352063,0.1671612265084075,10.669482699999998,23.5695
case_159,159,rho_normalized,4,33364,0.5723161901625176,0.5994977455887321,0.5864815567417124,7.7352063,0.03524757223354514,7.21153865,19.952074
case_159,159,rho_normalized,5,33363,0.5994978181572991,0.6263198293963249,0.6127955301848187,7.7352063,0.010700476575847495,6.193570899999999,11.726399
case_159,159,rho_normalized,6,33363,0.6263203461204337,0.6598054076137116,0.6426414090698171,7.7352063,0.0007493330935467434,5.3752699,11.191706
case_159,159,rho_normalized,7,33363,0.6598074845451111,0.694460306444174,0.6766213941774969,7.7352063,0.0,5.4469035,6.718905
case_159,159,rho_normalized,8,33364,0.6944607732130675,0.7343291381288948,0.7138725043308117,7.7352063,0.0,5.6810376,7.149282
case_159,159,rho_normalized,9,33363,0.734329421705221,0.7861637211155087,0.7592892791178159,7.7352063,0.0002397865899349579,5.8417688,8.34661
case_159,159,rho_normalized,10,33363,0.7861647320143464,0.8502995999441537,0.8174377716236293,7.7352063,0.0,6.3845595,7.344687
case_159,159,rho_normalized,11,33364,0.850300358043139,1.0,0.9059649384527847,7.7352063,0.016694640930344083,7.3082996499999995,8.1325
case_159,159,theta,0,33364,0.007523813849037263,0.16093781931827747,0.10259067800815488,7.7352063,0.06662870159453303,8.377451449999999,19.952074
case_159,159,theta,1,33363,0.16093820625861535,0.20415946092191048,0.1858922902342622,7.7352063,0.01930282048976411,6.857004599999996,16.253433
case_159,159,theta,2,33363,0.20416336180324682,0.2336082012705363,0.2183087869629075,7.7352063,0.10127986092377783,9.807424199999998,27.97098
case_159,159,theta,3,33363,0.2336082735716023,0.26419869265354845,0.24890047914037886,7.7352063,0.04759763810208914,7.652038999999997,20.321051
case_159,159,theta,4,33364,0.2641987432642904,0.2974986423721759,0.28102816228842786,7.7352063,0.008692003356911641,6.407443149999997,13.939176
case_159,159,theta,5,33363,0.2975001907130873,0.34031268432822637,0.3177576576464139,7.7352063,0.008452477295207265,6.578360999999999,12.656432
case_159,159,theta,6,33363,0.34031279125876074,0.3856683108319214,0.3645470088836153,7.7352063,0.00794293079159548,6.269623999999999,12.666142
case_159,159,theta,7,33363,0.38566850513488515,0.4231294147127937,0.4057007138735508,7.7352063,0.015016635194676737,6.5684414,15.400966
case_159,159,theta,8,33364,0.4231297834876082,0.45409700178404844,0.4389413625681497,7.7352063,0.07684929864524637,9.00801925,27.629742
case_159,159,theta,9,33363,0.4540971498854273,0.4813485901749602,0.46813435310312884,7.7352063,0.08185714713904625,8.870711899999998,26.677391
case_159,159,theta,10,33363,0.4813499543314616,0.5213704734571827,0.4991674201725348,7.7352063,0.022060366274016127,6.8161481,17.766151
case_159,159,theta,11,33364,0.5213715439608994,0.7734958862662945,0.5998519876729771,7.7352063,0.1443172281501019,13.435309349999997,27.715315
case_159,159,z,0,33364,1.789402,73.682808,35.66225640798466,7.7352063,0.07247332454142189,8.6137665,21.839535
case_159,159,z,1,33363,73.682877,146.385315,109.46271240041362,7.7352063,0.014896741899709258,5.586479899999997,13.980107
case_159,159,z,2,33363,146.385315,220.617432,183.59090910101014,7.7352063,0.013757755597518209,5.547316299999999,12.911842
case_159,159,z,3,33363,220.617432,293.33844,257.72533031705785,7.7352063,0.022030392950274254,6.007945299999999,14.137335
case_159,159,z,4,33364,293.33844,367.590393,331.90029914212914,7.7352063,0.028713583503177077,6.509038249999999,15.791967
case_159,159,z,5,33363,367.590393,440.367249,406.0354935512394,7.7352063,0.039984413871654224,7.2561969999999985,16.945093
case_159,159,z,6,33363,445.981415,518.770203,480.3142320488265,7.7352063,0.05059497047627611,7.753860699999996,17.887442
case_159,159,z,7,33363,518.770203,593.078796,554.4849111393459,7.7352063,0.05895752780025777,7.912064199999999,18.196711
case_159,159,z,8,33364,593.078796,665.866699,628.723049625974,7.7352063,0.042770651001079005,7.5464027,17.657133
case_159,159,z,9,33363,665.866699,740.160339,702.9256594944998,7.7352063,0.03351017594341037,6.867953599999995,16.569519
case_159,159,z,10,33363,740.160339,812.916687,777.106349397806,7.7352063,0.04280190630338998,7.353420199999993,18.766756
case_159,159,z,11,33364,812.916931,885.15863,850.927041361827,7.7352063,0.17950485553290974,11.44332575,27.97098
case_160,160,rho_normalized,0,33364,0.0,0.3628332127739917,0.1715813851198834,8.2076078,0.0036566358949766216,4.1514736999999995,14.91995
case_160,160,rho_normalized,1,33363,0.36284799693097763,0.48245431529325095,0.4424268447179116,8.2076078,0.15343344423463118,12.907373999999995,27.873594
case_160,160,rho_normalized,2,33363,0.48245464271200417,0.537081280909112,0.5119120271844743,8.2076078,0.044450439109192816,7.882505399999994,27.153263
case_160,160,rho_normalized,3,33363,0.5370817189900253,0.5725912449535084,0.5556209502667768,8.2076078,0.11872433534154603,10.048462599999997,22.788691
case_160,160,rho_normalized,4,33364,0.5725921032735753,0.599680410882123,0.586585088929267,8.2076078,0.045977700515525716,8.076018499999998,20.972662
case_160,160,rho_normalized,5,33363,0.5996804677020912,0.6264654302784693,0.6128862595555064,8.2076078,0.020831460000599468,7.239448399999994,12.889166
case_160,160,rho_normalized,6,33363,0.6264655943815873,0.6598488737461256,0.6427259770435063,8.2076078,0.0028774390792194945,6.2059371,12.330618
case_160,160,rho_normalized,7,33363,0.659849609492116,0.69451227527914,0.6766891010125724,8.2076078,0.0,4.9088419,7.489402
case_160,160,rho_normalized,8,33364,0.694512453684975,0.7344484295254846,0.7138922063200068,8.2076078,0.0,4.74013815,6.531228
case_160,160,rho_normalized,9,33363,0.7344516474563143,0.7860226665609518,0.7591929924394888,8.2076078,0.0,5.3057430000000005,7.367024
case_160,160,rho_normalized,10,33363,0.7860232387376094,0.8499464886266871,0.8171695129043287,8.2076078,0.0,6.4188782999999985,7.985866
case_160,160,rho_normalized,11,33364,0.8499475619804758,1.0,0.9052931094782749,8.2076078,0.2100467569835751,11.44094455,14.800439
case_160,160,theta,0,33364,0.007525678765402543,0.160965590146068,0.10269621356972072,8.2076078,0.09576189905287136,9.984494799999998,20.972662
case_160,160,theta,1,33363,0.16096594791758997,0.20412762288359393,0.18592751514400177,8.2076078,0.03683721487875791,7.607075299999997,14.172787
case_160,160,theta,2,33363,0.20413096816897577,0.233615273793719,0.21830372581260377,8.2076078,0.0835955999160747,9.323392899999996,24.559893
case_160,160,theta,3,33363,0.2336153983999904,0.2641107156747452,0.2488715978387853,8.2076078,0.04211251985732698,7.853832,17.447189
case_160,160,theta,4,33364,0.264110828212491,0.29742205873344374,0.28096663924763293,8.2076078,0.032250329696679056,7.3224720499999965,14.800439
case_160,160,theta,5,33363,0.297422519595115,0.3400612083310098,0.31765646620788984,8.2076078,0.03794622785720709,7.6340042,14.482826
case_160,160,theta,6,33363,0.340062255392185,0.38541245902859395,0.3644040290188706,8.2076078,0.028714444144711207,7.109861299999994,14.146785
case_160,160,theta,7,33363,0.38541385184717497,0.42296543522889013,0.40552396098676247,8.2076078,0.02517759194317058,7.014301699999997,13.81445
case_160,160,theta,8,33364,0.42296595336670334,0.4538376120481305,0.438708357804294,8.2076078,0.0488250809255485,8.160828499999997,24.631908
case_160,160,theta,9,33363,0.45383914657581104,0.48114461379265144,0.467861876690205,8.2076078,0.04675838503731679,8.051149799999997,23.785242
case_160,160,theta,10,33363,0.4811491026615618,0.520814307412567,0.4988683584064601,8.2076078,0.017654287683961274,6.434439799999996,16.3792
case_160,160,theta,11,33364,0.520815815644676,0.77348167245232,0.5996246786599142,8.2076078,0.10436398513367702,12.508654799999997,27.873594
case_160,160,z,0,33364,1.727417,73.736992,35.702344083443236,8.2076078,0.07612996043639851,9.095302399999992,22.926044
case_160,160,z,1,33363,73.737,146.494858,109.55383362038783,8.2076078,0.014297275424871863,5.6556988,15.026592
case_160,160,z,2,33363,146.494858,220.755569,183.71463538992296,8.2076078,0.015016635194676737,5.827606499999999,14.053727
case_160,160,z,3,33363,220.755569,293.523224,257.8828398799868,8.2076078,0.02610676497916854,6.626502499999997,14.47301
case_160,160,z,4,33364,293.523224,367.839172,332.11106957852775,8.2076078,0.038994125404627746,7.40966085,15.408487
case_160,160,z,5,33363,367.839172,440.698029,406.3066537886281,8.2076078,0.04858675778557084,8.127529799999998,16.070135
case_160,160,z,6,33363,446.27536,519.130188,480.6435655420975,8.2076078,0.06848904475017234,9.089446499999992,16.464834
case_160,160,z,7,33363,519.130188,593.494873,554.8715629861823,8.2076078,0.05778856817432485,8.580291699999998,16.361984
case_160,160,z,8,33364,593.494873,666.340088,629.1669749267475,8.2076078,0.056018463014027096,8.559544299999999,15.549369
case_160,160,z,9,33363,666.340088,740.694092,703.4282550511645,8.2076078,0.02964361718070917,6.916632,14.404293
case_160,160,z,10,33363,740.694153,813.521912,777.6716617903068,8.2076078,0.015735994964481612,5.9010836,16.12355
