case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,stress_mean,stress_median,stress_p95,stress_max
case_73,73,rho_normalized,8,40036,0.7631357675590777,0.8351532298125166,0.7981520722345775,3.1056531753671694,3.2484349999999997,6.1670105,8.882988
case_73,73,rho_normalized,9,40036,0.8351533873138873,1.0,0.8935867309833325,6.88993993191128,6.328999,16.643349,22.045938
case_73,73,theta,0,40036,0.007531973386966329,0.17419021551746658,0.1136978403699255,3.8149906661504644,3.260189,10.71691525,20.443838
case_73,73,theta,1,40036,0.17419203016755425,0.21504886366783693,0.19695904039043868,3.1538620074433013,2.6004005,7.9006247499999995,20.701782
case_73,73,theta,2,40036,0.21504935540047182,0.25184478818187594,0.23340301621537163,3.217489656034569,2.5660085,8.50342125,21.642605
case_73,73,theta,3,40036,0.2518449489288576,0.29067530121190777,0.2711426563538213,2.7665812584174243,2.198169,8.06382575,22.045938
case_73,73,theta,4,40036,0.2906754688826521,0.33990131769643833,0.31353006563250047,2.8585054374063343,2.084694,9.19150175,21.642351
case_73,73,theta,5,40036,0.33990170146345733,0.3936386499007492,0.36841392944050755,2.651089891647517,2.101421,7.4263165,20.966896
case_73,73,theta,6,40036,0.3936409678612031,0.4357873796749068,0.4160364059192435,2.7558962711060047,2.4274835,6.57011275,20.292192
case_73,73,theta,7,40036,0.4357875894740309,0.47062312421488883,0.45337575806553754,3.39167259558897,3.0217045000000002,6.8840505,17.854107
case_73,73,theta,8,40036,0.4706231303599099,0.5105442609539509,0.4879521525274509,3.14506818845539,3.0122695,5.9988385,12.889653
case_73,73,theta,9,40036,0.510546218426029,0.7734648174853637,0.585238156119636,3.482134125387151,3.1675505,10.08305775,21.696907
case_73,73,theta_sin,0,40036,0.0075319021715777625,0.1733106643242214,0.11334058319272396,3.8149906661504644,3.260189,10.71691525,20.443838
case_73,73,theta_sin,1,40036,0.17331245151329794,0.21339516669607397,0.1956748482333012,3.1538620074433013,2.6004005,7.9006247499999995,20.701782
case_73,73,theta_sin,2,40036,0.21339564710209788,0.24919097543768903,0.2312760597291734,3.217489656034569,2.5660085,8.50342125,21.642605
case_73,73,theta_sin,3,40036,0.24919113111380192,0.28659926310444817,0.26781527005890127,2.7665812584174243,2.198169,8.06382575,22.045938
case_73,73,theta_sin,4,40036,0.2865994237414935,0.333394057315096,0.3083866662785428,2.8585054374063343,2.084694,9.19150175,21.642351
case_73,73,theta_sin,5,40036,0.33339441912584683,0.3835513111543858,0.3600968178067068,2.651089891647517,2.101421,7.4263165,20.966896
case_73,73,theta_sin,6,40036,0.38355345183519146,0.4221243217017429,0.40410860425930745,2.7558962711060047,2.4274835,6.57011275,20.292192
case_73,73,theta_sin,7,40036,0.4221245118926017,0.45344175520851926,0.43797925228700046,3.39167259558897,3.0217045000000002,6.8840505,17.854107
case_73,73,theta_sin,8,40036,0.4534417606854899,0.48865217531381655,0.46878602188281954,3.14506818845539,3.0122695,5.9988385,12.889653
case_73,73,theta_sin,9,40036,0.48865388316554026,0.6986184845577027,0.5508285843188808,3.482134125387151,3.1675505,10.08305775,21.696907
case_73,73,theta_cos,0,40036,0.7154943836497243,0.8724777260579427,0.8313485738810168,3.482134125387151,3.1675505,10.08305775,21.696907
case_73,73,theta_cos,1,40036,0.8724786825826033,0.8912859079254215,0.8832346424961859,3.14506818845539,3.0122695,5.9988385,12.889653
case_73,73,theta_cos,2,40036,0.8912859107118306,0.9065378626728355,0.8989254117572122,3.39167259558897,3.0217045000000002,6.8840505,17.854107
case_73,73,theta_cos,3,40036,0.9065379512341684,0.9235186785254045,0.9146309767507257,2.7558962711060047,2.4274835,6.57011275,20.292192
case_73,73,theta_cos,4,40036,0.9235195675846568,0.9427874422666751,0.9327974838292212,2.651089891647517,2.101421,7.4263165,20.966896
case_73,73,theta_cos,5,40036,0.942787570212388,0.9580505050940915,0.9511527199939084,2.8585054374063343,2.084694,9.19150175,21.642351
case_73,73,theta_cos,6,40036,0.9580505531484167,0.9684543252906789,0.963403388681622,2.7665812584174243,2.198169,8.06382575,22.045938
case_73,73,theta_cos,7,40036,0.9684543653473885,0.9769658631691677,0.9728279511373331,3.217489656034569,2.5660085,8.50342125,21.642605
case_73,73,theta_cos,8,40036,0.9769659681026535,0.9848668915901533,0.9805995814262911,3.1538620074433013,2.6004005,7.9006247499999995,20.701782
case_73,73,theta_cos,9,40036,0.984867206089987,0.9999716348225473,0.992453653484477,3.8149906661504644,3.260189,10.71691525,20.443838
case_73,73,z,0,40036,1.751845,88.267998,43.5388582490009,3.0508947453541815,2.6933415,7.45498775,21.117647
case_73,73,z,1,40036,88.268097,176.76741,132.5229227776501,2.2710793535068436,2.1178150000000002,5.01617,12.45059
case_73,73,z,2,40036,176.76741,265.299042,221.8262007493256,2.978179758916975,2.7132265,6.26161325,17.266241
case_73,73,z,3,40036,265.299103,353.888794,311.1872752459786,3.3160425411129992,2.894664,8.076531,19.065416
case_73,73,z,4,40036,353.888855,442.514069,400.58848969649813,3.5457241517634124,2.9055705,9.480080749999999,21.147661
case_73,73,z,5,40036,448.147186,536.783813,490.06082987798476,3.6217826377260467,2.8283575,10.7771045,21.307961
case_73,73,z,6,40036,536.783813,625.413818,579.4938240379907,3.5368431494155264,2.835283,10.2032335,22.045938
case_73,73,z,7,40036,625.413818,714.025452,668.9219599097062,3.139475321835348,2.526171,9.227024,20.801941
case_73,73,z,8,40036,714.025513,802.601624,758.3120300215807,2.3476901897292435,1.951543,6.5835915,14.684288
case_73,73,z,9,40036,802.601685,889.206116,847.3434000364174,3.429578248276551,3.0301875000000003,8.053941,21.696907
case_73,73,distance_to_inner_proxy,0,40036,0.0,38.73115633483869,19.6902330073106,1.2933387951593567,0.101682,6.37023475,20.619808
case_73,73,distance_to_inner_proxy,1,40036,38.731178097013526,47.531157962199444,43.85005931144517,3.2714332818713157,2.559614,9.186987,21.696907
case_73,73,distance_to_inner_proxy,2,40036,47.531261592935806,52.477069552624016,50.17759709124578,2.9924519929063838,2.5125895,7.33376075,16.514166
case_73,73,distance_to_inner_proxy,3,40036,52.47712794139838,55.74930699647456,54.14568769448626,3.2062538690928166,2.9109705000000003,7.02253825,16.907051
case_73,73,distance_to_inner_proxy,4,40036,55.749468281691065,58.67244730936338,57.15442724631226,2.7659841740683384,2.5336914999999998,5.541025250000001,10.445312
case_73,73,distance_to_inner_proxy,5,40036,58.672723626864524,62.40508675654101,60.50406822548582,2.5972377830952147,2.4658255000000002,4.57280675,9.899602
case_73,73,distance_to_inner_proxy,6,40036,62.4051124544869,66.45945435380355,64.34702179604339,2.5498688618992906,2.6023945,3.6352217500000004,9.841356
case_73,73,distance_to_inner_proxy,7,40036,66.45948743988819,71.469046318511,68.82043512940376,2.5651282322659603,2.736103,4.1490915,5.9457
case_73,73,distance_to_inner_proxy,8,40036,71.46914644900517,78.21372162877915,74.74849137469373,3.1056531753671694,3.2484349999999997,6.1670105,8.882988
