candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,outer_fold,selected_in_outer_fold
ridge__physical_plus_tail_13__a0.1__s0.50,ridge,physical_plus_tail_13,0.1,0.5,13,14,1.0065094988654857,0.9937266741081351,0.07244366072332857,0.11076917370035715,0.0,,2,False
ridge__physical_plus_tail_13__a0.1__s0.75,ridge,physical_plus_tail_13,0.1,0.75,13,14,1.0031188464690912,0.9915014057189676,0.06055783324007447,0.11123314852232245,0.0,,2,False
ridge__physical_plus_tail_13__a0.1__s1.00,ridge,physical_plus_tail_13,0.1,1.0,13,14,1.0019700858024887,0.9898925370124294,0.05875207660034397,0.12404682260049904,0.0,,2,False
ridge__physical_plus_tail_13__a1__s0.50,ridge,physical_plus_tail_13,1.0,0.5,13,14,1.006128592273564,0.9936948267125569,0.0726083986305122,0.1034585139591193,0.0,,2,False
ridge__physical_plus_tail_13__a1__s0.75,ridge,physical_plus_tail_13,1.0,0.75,13,14,1.003221353688273,0.991479974424899,0.06171145167040816,0.11140468192666228,0.0,,2,False
ridge__physical_plus_tail_13__a1__s1.00,ridge,physical_plus_tail_13,1.0,1.0,13,14,1.0018681044385334,0.9899068328120196,0.06025806981656897,0.1187092928971356,0.0,,2,False
ridge__physical_plus_tail_13__a10__s0.50,ridge,physical_plus_tail_13,10.0,0.5,13,14,1.0067082118451813,0.9938866489746122,0.07402017370285416,0.10839091000567251,0.0,,2,False
ridge__physical_plus_tail_13__a10__s0.75,ridge,physical_plus_tail_13,10.0,0.75,13,14,1.0035337526873076,0.9917115418441853,0.06342628443139521,0.1095916479996556,0.0,,2,False
ridge__physical_plus_tail_13__a10__s1.00,ridge,physical_plus_tail_13,10.0,1.0,13,14,1.0022036197734536,0.9901340327692546,0.061388323806442324,0.11525374793327998,0.008403361344537815,,2,False
ridge__physical_plus_tail_13__a100__s0.50,ridge,physical_plus_tail_13,100.0,0.5,13,14,1.009149220327581,0.9951536262864993,0.07996590675735071,0.11998006730693007,0.0,,2,False
ridge__physical_plus_tail_13__a100__s0.75,ridge,physical_plus_tail_13,100.0,0.75,13,14,1.0051902684385943,0.9932289035837236,0.07007757586182961,0.09907214537375345,0.0,,2,False
ridge__physical_plus_tail_13__a100__s1.00,ridge,physical_plus_tail_13,100.0,1.0,13,14,1.0034223204850496,0.9916431923452546,0.06207190556149235,0.10807740713510278,0.008403361344537815,,2,False
huber__physical_plus_tail_13__a0.001__s0.50,huber,physical_plus_tail_13,0.001,0.5,13,15,1.0065430530917026,0.993782949466366,0.07256588469026655,0.11007030312619726,0.0,,2,False
huber__physical_plus_tail_13__a0.001__s0.75,huber,physical_plus_tail_13,0.001,0.75,13,15,1.002807582654585,0.9915417281064323,0.05951019233474757,0.10629670629356237,0.0,,2,False
huber__physical_plus_tail_13__a0.001__s1.00,huber,physical_plus_tail_13,0.001,1.0,13,15,1.0010152812469584,0.9898382582790125,0.0545507966165319,0.11107752158804261,0.008403361344537815,,2,False
huber__physical_plus_tail_13__a0.01__s0.50,huber,physical_plus_tail_13,0.01,0.5,13,15,1.006595611088665,0.9937908381056275,0.07273024690097286,0.11063496585879806,0.0,,2,False
huber__physical_plus_tail_13__a0.01__s0.75,huber,physical_plus_tail_13,0.01,0.75,13,15,1.0030049992310401,0.9915497980051766,0.05963004045780375,0.1098439436016636,0.0,,2,False
huber__physical_plus_tail_13__a0.01__s1.00,huber,physical_plus_tail_13,0.01,1.0,13,15,1.0011242221395442,0.9898506075679919,0.054420525048684255,0.11326989679586599,0.008403361344537815,,2,False
huber__physical_plus_tail_13__a0.1__s0.50,huber,physical_plus_tail_13,0.1,0.5,13,15,1.0064709678487822,0.9937766363155168,0.07275849003152612,0.10836965060225313,0.0,,2,False
huber__physical_plus_tail_13__a0.1__s0.75,huber,physical_plus_tail_13,0.1,0.75,13,15,1.0031095536784775,0.9915247921728675,0.059561255498154775,0.1125727191158912,0.0,,2,False
huber__physical_plus_tail_13__a0.1__s1.00,huber,physical_plus_tail_13,0.1,1.0,13,15,1.0009357834974757,0.9898407753647396,0.05382425742251093,0.11089030327188566,0.008403361344537815,,2,False
constant_global_0_90,constant,none,0.0,0.0,0,0,1.0189909887269883,1.0,0.10240988726988273,0.17499999999999993,0.0,,3,False
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10,1.007963782586095,0.994384643953736,0.0723326283350022,0.12691751597717657,0.0,,3,False
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10,1.0037609622972936,0.9923043474489236,0.06238399236795126,0.10436431223149802,0.0,,3,False
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10,1.0031392838237398,0.9907324080638364,0.05970328508691092,0.12873094502424876,0.0,,3,False
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10,1.0077335426034537,0.9944739742962597,0.07324653612933434,0.11869829388521111,0.0,,3,False
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10,1.003771344795198,0.9923938856950364,0.0634640805999649,0.10062102080329795,0.0,,3,False
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10,1.0025899985619138,0.9907926609106258,0.05861663914064453,0.11871347474446808,0.0,,3,False
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10,1.008331076268534,0.994777870612253,0.07578101095594407,0.11950209121373073,0.0,,3,False
