case_id,legacy_split,similarity_group,oracle_gain,minimum_grid_loss,selected_near_optimal_loss,global_gain_loss,oracle_loss_improvement_fraction,oracle_target_weight,near_optimal_gain_count,oracle_at_lower_bound,oracle_at_upper_bound,case_mean_correction_mpa,fluence_rate_mean,fluence_rate_p95,fluence_rate_std,tail_correction_abs_max_mpa,tail_correction_std_mpa,temperature_mean,temperature_p95,temperature_std,v10_case_scale,weight_loss_rate_mean,weight_loss_rate_p95,weight_loss_rate_std
case_159,internal_test,group_124,1.0,0.30929074922005706,0.31077777269058493,0.3139574234577866,0.010127649578030098,1.0405105983121203,5,False,False,-0.44314204419764536,3.417283773422241,4.342947959899902,0.3971401154994964,5.2829991435208585,0.7033219720967838,366.4687805175781,400.5136413574219,14.465778350830078,3.3497878168503155,0.4797284305095672,0.5544710159301758,0.0459972023963928
case_16,train,group_011,0.975,0.2768215249394953,0.27799556857833363,0.28002906495698077,0.007261733273864023,1.0290469330954561,6,False,False,-0.4823759037776859,3.462811231613159,4.341714859008789,0.3811382949352264,6.706141961609796,0.8930865519370529,389.4546813964844,427.8513793945313,18.39821434020996,4.260811997049674,0.3562471866607666,0.4918529987335205,0.0535491593182086
case_163,train,group_128,0.9,0.3367526129520595,0.3377991355401477,0.3377991355401477,0.0,1.0,10,False,False,-0.5146540873118854,3.4270238876342773,4.3568949699401855,0.3980803191661834,6.267151011608086,0.8078470515104488,428.0745849609375,436.895263671875,10.44421100616455,3.8314495228332395,0.5707933306694031,0.6143990159034729,0.0392832420766353
case_164,train,group_129,1.0,0.2820581443519846,0.2833437116283352,0.2860806450731926,0.009566999697435444,1.0382679987897419,5,False,False,-0.3730752751269696,3.4762561321258545,4.41284704208374,0.3991175293922424,4.797059528470061,0.6430755946973005,372.5656433105469,398.373779296875,12.289033889770508,3.0655756931085567,0.4134506583213806,0.5344280004501343,0.0572255402803421
case_165,train,group_130,0.8,0.4499504916602043,0.4521556095716567,0.45594107552850904,0.008302533287803471,1.0332101331512138,13,False,False,-0.16813796697802574,4.635026454925537,4.99378776550293,0.2627304494380951,7.537112699296258,0.9711205608671318,381.8801879882813,415.5033264160156,12.852670669555664,4.607056318475231,0.4151437878608703,0.5631849765777588,0.0593654699623584
case_166,train,group_131,1.025,0.2847532006627488,0.2861414017198647,0.2903423162953711,0.01446883330376391,1.0578753332150557,4,False,False,-0.43940252800927304,3.435631275177002,4.379203796386719,0.4026464819908142,5.239105886858266,0.6989861149491727,367.1941223144531,402.5552978515625,14.791897773742676,3.3296964976939973,0.4171966016292572,0.5165070295333862,0.0498398467898368
case_169,train,group_119,1.025,0.3180654333657523,0.31913804566961895,0.32304674159009306,0.012099474835235336,1.0483978993409413,4,False,False,-0.4413839211391859,3.432600259780884,4.357941150665283,0.3979732692241668,5.559923630002512,0.7379379735498555,380.2094421386719,403.2781677246094,11.796460151672363,3.5167545299545835,0.461256742477417,0.5403760075569153,0.0473449788987636
case_17,train,group_012,1.075,0.32349961000577165,0.32428657340629413,0.33210791003130247,0.023550588193672183,1.0942023527746887,2,False,False,-0.5603091137791536,3.3391776084899902,4.13048791885376,0.3435490429401397,5.484052780072772,0.7364658044234884,440.5730590820313,448.5782775878906,11.065532684326172,3.511935289099871,0.3592750132083893,0.4972169995307922,0.0520152747631073
case_170,train,group_134,0.9,0.2921598915309196,0.2921598915309196,0.2921598915309196,0.0,1.0,10,False,False,-0.3747317187635337,3.624504804611206,4.445261955261231,0.3619391322135925,4.7441412124322,0.6284042570289887,368.7039794921875,398.2426452636719,13.252694129943848,2.989767575926332,0.5845108032226562,0.635528028011322,0.0436390973627567
case_171,train,group_135,1.05,0.3276381901257096,0.3291462836049371,0.3356958329140721,0.019510368217205493,1.078041472868822,3,False,False,-0.45793116942913337,3.394049644470215,4.330490112304688,0.4039483368396759,5.818636958953969,0.7716863592296971,404.6004943847656,419.4354553222656,9.74038028717041,3.672143946803226,0.3590504825115204,0.4828700125217438,0.0560246706008911
case_173,train,group_137,0.35,0.44738652907928556,0.4491960972615309,0.4742666859129531,0.05286179568603234,1.2114471827441293,15,False,False,-0.139209977667354,5.071426868438721,5.266848087310791,0.2815006375312805,10.247865209451593,1.3341054948961024,402.19830322265625,418.6421203613281,10.53454875946045,6.339196958299447,0.3573223054409027,0.4937979876995086,0.0546013936400413
case_175,train,group_093,1.025,0.2953228929360685,0.2965947216410142,0.3006319748889659,0.01342922105821523,1.0537168842328608,4,False,False,-0.38587971381565034,3.4117743968963623,4.342660903930664,0.399386316537857,4.958831205946858,0.6690912902537508,368.5635070800781,397.02093505859375,13.123151779174805,3.197574172900906,0.350957453250885,0.4941850006580353,0.060766514390707
case_176,validation,group_139,0.9,0.2947072418966836,0.2947072418966836,0.2947072418966836,0.0,1.0,9,False,False,-0.3615804979807695,3.8361308574676514,4.557304859161377,0.329047679901123,6.001335404968645,0.7962671955698901,368.1735229492188,400.0348815917969,13.200841903686523,3.7930954310881733,0.4161161482334137,0.5100190043449402,0.0495842769742012
case_179,train,group_142,1.0,0.28010121818740735,0.2810146822321461,0.2836146446678599,0.009167236193880665,1.0366689447755226,5,False,False,-0.40064618192306034,3.457709550857544,4.4017839431762695,0.4018899798393249,5.8624097034394875,0.7834204217712244,367.383544921875,401.6455993652344,14.590286254882812,3.7369887562924102,0.356120616197586,0.4893760085105896,0.0579687319695949
